coin,mkt_cap
BTC,197687817851.48
ETH,39907132066.83
USDT,16391711492.85
XRP,11211741545.35
BNB,4179682348.61
BCH,4108245727.71
LINK,3663302289.91
DOT,3558875853.01
CRO,3120909886.28
LTC,3072828147.16
BSV,3020789065.71
ADA,2997634376.58
USDC,2809715247.33
EOS,2367647982.48
TRX,1889047249.6
XMR,1872781773.73
XTZ,1580771088.85
XLM,1521768152.93
NEO,1282273915.16
LEO,1227783281.14
WBTC,1218425749.13
ATOM,1087772638.64
XEM,1056570227.67
HT,963553088.83
DAI,954162032.77
UNI,773792859.75
THETA,773114758.41
MIOTA,765687310.19
VET,751412359.17
BUSD,730112215.57
ZEC,652516772.0
DASH,649163888.9
MOBI,630854227.01
ETC,600518193.53
YFI,573060299.11
MKR,572718955.83
OMG,509136269.48
FIL,493102446.07
COMP,483912888.08
ONT,469440807.76
SNX,457312426.97
UMA,382944027.49
HEDG,379962166.18
OKB,369310499.01
DGB,362646249.03
ALGO,341940599.96
FTT,335157374.6
DOGE,334242489.98
BAT,329247085.02
BTT,326729006.51
CEL,323143494.42
ZRX,279876286.23
TUSD,276441486.99
KSM,268708068.79
CELO,264969131.4
HUSD,255676039.11
WAVES,245861012.55
PAX,245566842.46
REN,237879894.49
LRC,228032687.33
ICX,226607968.47
ZIL,224802874.73
QTUM,224479101.47
EWT,221281918.09
ABBC,216961341.24
HYN,188497536.96
KNC,183693494.78
NXM,180702075.25
HBAR,178219139.28
REP,153233455.91
LSK,142516171.0
ANT,139839951.74
AR,138494254.82
DCR,138170319.9
OCEAN,136995520.6
BTG,136305022.89
ZB,134986446.08
CVT,133792582.88
TMTG,133746313.89
ENJ,125443506.7
EGLD,124206667.17
SC,123783194.02
SUSHI,122983592.12
BAND,122280142.46
REV,120716208.12
LUNA,116718199.31
SOL,115152812.05
BAL,113482142.33
MANA,111367415.11
VLX,108529530.45
SXP,104123847.87
QNT,103980427.14
NANO,103200598.87
STX,103055107.62
NMR,102962691.89
DX,101494602.84
CKB,101308841.62
BCD,100094054.12
