coin,mkt_cap
BTC,1241557711041.56
ETH,293715640727.55
USDT,119658910848.89
BNB,83260723249.13
SOL,68620881328.64
USDC,35577650044.65
XRP,30182101912.87
DOGE,16305089201.93
TON,13469288264.83
TRX,13357497595.15
ADA,12489157157.52
AVAX,10945170239.8
SHIB,10680187907.91
LINK,7068552952.08
BCH,6415335660.35
DOT,6292826982.5
NEAR,6007727421.8
LEO,5549745994.51
DAI,5364217727.89
SUI,5089601066.72
LTC,5033786865.9
TAO,4688736246.14
APT,4376864871.69
PEPE,4303808057.35
UNI,4248739105.09
ICP,4013410823.21
FET,3706159497.25
KAS,3547629037.37
POL,2896622908.65
RENDER,2814318027.32
ETC,2794433125.44
STX,2744594839.34
XLM,2743987981.8
XMR,2723340949.18
FDUSD,2615268694.04
WIF,2563206399.27
OKB,2502649936.84
IMX,2443000783.04
AAVE,2243222990.26
FIL,2184242550.45
CRO,2140624257.59
OP,2109683207.1
HBAR,2039373225.79
INJ,2026863458.8
ARB,2021288188.32
MNT,1978447296.93
VET,1882289652.85
FTM,1838699463.47
ATOM,1815684962.85
RUNE,1654957496.2
BONK,1561092195.73
GRT,1567012574.94
SEI,1547683906.15
BGB,1539716374.7
POPCAT,1371398114.39
FLOKI,1343063543.41
THETA,1334982759.11
AR,1288304919.11
MKR,1274279085.84
HNT,1252184167.87
PYTH,1221150265.78
OM,1163669039.74
TIA,1144169901.73
JUP,1065710460.98
ALGO,1050362545.24
ONDO,1031982281.66
MATIC,1033403728.43
JASMY,986551544.68
WLD,980823710.12
LDO,967031118.72
KCS,958239197.5
BSV,923550506.73
BTT,908265111.26
W,884274328.51
CORE,856708288.51
FLOW,848145297.66
BRETT,843301248.32
QNT,840010084.24
CFX,829235691.1
FTT,809516171.92
ENA,809589425.05
BEAM,801487099.34
NOT,791980657.66
GT,791983131.43
STRK,770709266.17
ORDI,771695625.5
FLR,751152976.47
USDD,740833795.69
GALA,729210052.2
PYUSD,729066243.86
NEO,729179924.78
EOS,723044716.51
AXS,712397420.41
CKB,714163026.19
XEC,706544887.16
EGLD,703498938.18
XTZ,680345408.4
XAUt,653700592.48
AKT,627949897.2
PENDLE,624863871.06
MINA,619290967.75
EIGEN,614868076.53
SAND,614941129.17
1000SATS,613531132.3
MOG,606673678.57
CHZ,581184751.47
RON,579084499.48
DYDX,574020538.16
ENS,568724025.45
MANA,563510482.73
NEXO,557715384.43
MEW,549953570.06
AXL,533846183.57
AIOZ,528471523.96
CAKE,514972264.64
PAXG,514168163.54
LUNC,513007213.5
SUPER,504811444.81
KLAY,509779300.03
ROSE,499945214.26
TUSD,494452859.23
RAY,477582554.05
ZEC,478754771.66
ZK,473415264.27
SNX,468348615.46
DEXE,467719488.36
ZRO,465788342.4
TWT,453586004.44
ASTR,453848528.0
BOME,452134457.65
APE,444581777.52
XDC,437916839.34
LPT,437214178.39
BLUR,433172809.3
IOTA,431923994.24
SAFE,428527719.94
TFUEL,424520258.51
GNO,420681792.9
CELO,406351432.99
NFT,406839533.62
BTG,393991245.89
COMP,389066991.76
GMT,380326698.76
OSMO,378157561.35
KAVA,372075191.7
PEOPLE,371241825.93
DOGS,369518410.96
RSR,359913594.18
IOTX,358305956.6
SFP,355747900.48
PRIME,344095352.74
ETHW,342306003.86
GLM,342641373.52
WEMIX,343828539.0
ARKM,335527880.62
1INCH,334040510.94
BabyDoge,316631511.26
MX,323700736.31
HMSTR,322844863.43
DYM,316289888.78
CRV,313057151.13
AMP,312058119.83
WOO,311298179.52
AEVO,301725535.41
KSM,293425825.7
DASH,290147265.61
SC,290218074.11
JST,286127302.19
MANTA,284198854.59
HOT,278688256.69
ETHFI,279329216.74
MEME,278572942.02
ELF,279005844.62
ZETA,279619811.84
ID,276080026.82
ZIL,274969136.33
ANKR,275070981.46
ZRX,274425800.2
BNX,272124086.89
LUNA,269843197.6
JTO,266353924.19
ANT,263485762.59
BAT,261529339.53
SSV,260567516.91
ENJ,259291666.98
ALT,259045789.62
QTUM,256730477.95
GAS,257188143.72
SAGA,255233023.64
G,248814156.92
T,245911528.93
MASK,246313416.79
UMA,243024800.88
RVN,242219469.07
XCH,231070327.54
IO,220441142.72
POLYX,218535616.02
METIS,218394149.11
RPL,216701061.5
TRAC,212899498.39
