coin,mkt_cap
BTC,124328853511.62
ETH,15847283514.12
XRP,7882313124.22
USDT,6183665131.11
BCH,4261855110.55
BSV,3211817401.41
LTC,2620968038.64
EOS,2177343710.71
BNB,2136159300.3
TAGZ5,1246951555.79
XTZ,1177969542.75
LEO,1030817805.1
XMR,936704888.6
XLM,883293328.35
HT,844374930.13
TRX,840399150.43
ADA,829738785.58
LINK,797063756.77
USDC,696526423.34
CRO,693009654.23
DASH,631952340.14
ETC,586834712.17
MIN,560547071.85
HEDG,498543183.19
NEO,497590674.09
MIOTA,416316499.09
ATOM,394073736.07
XEM,335195215.83
ZEC,316884251.07
MKR,304351381.1
INO,284596385.71
OKB,281560497.93
ONT,248063362.84
PAX,245056442.28
FTT,240876012.13
DOGE,231320500.22
BAT,211301301.69
PLF,206552224.22
BUSD,198129681.31
ELAMA,185322457.09
VET,180342275.31
TUSD,135936262.76
BTG,127573188.74
DCR,126948169.0
HBAR,126884722.62
ICX,123321752.5
QTUM,121987600.17
LSK,119866826.63
SNX,116905306.33
ALGO,114708514.01
THR,114366150.51
BRC,111273841.76
BAY,109742701.13
REP,107315050.42
ZB,106820345.46
ZRX,100663664.62
