coin,mkt_cap
BTC,433216160786.44
ETH,191450085930.19
USDT,71450370818.94
BNB,45583995083.98
USDC,43980818759.52
XRP,18708866161.13
ADA,11691782766.97
DOGE,9923061953.8
MATIC,9934851222.82
BUSD,8690988693.97
SOL,8019674678.27
DOT,6955830776.74
LTC,6514229400.03
TRX,6145122488.1
SHIB,6100188949.78
AVAX,5252884573.1
DAI,5200415181.01
UNI,4841611560.78
LINK,3590859733.45
ATOM,3443744882.29
WBTC,3435200946.36
LEO,3200034660.61
OKB,2989932319.45
TON,2915088706.25
ETC,2762856903.77
XMR,2728800114.06
FIL,2432662742.92
BCH,2397569421.35
LDO,2229777290.72
XLM,2187183387.45
CRO,1858248147.45
APT,1817409494.82
HBAR,1791015669.41
APE,1758613037.52
VET,1765257045.26
NEAR,1758349906.89
ALGO,1617159175.94
ICP,1562483152.33
QNT,1513329639.86
EOS,1323002732.48
GRT,1242752252.58
TUSD,1166102612.1
BIT,1115303620.52
FTM,1111689679.14
FLOW,1084905694.32
EGLD,1081095875.29
MANA,1070276505.6
AAVE,1058232226.18
XTZ,1040849093.94
STX,1024103287.76
AXS,999285644.38
THETA,994970042.97
MKR,926942602.37
SAND,923348883.71
IMX,891712444.39
USDP,873951018.7
LUNC,854337749.72
NEO,851174530.37
KCS,846764222.99
CHZ,818632290.3
HT,811564604.92
SNX,784565840.22
OP,765123504.3
RPL,766720447.85
BSV,741664473.33
USDD,725488482.84
DASH,725255610.3
KLAY,717062507.01
FXS,716887258.86
MINA,707304884.08
CAKE,695873243.47
CRV,681948670.16
BTT,655928712.97
ZEC,622362890.88
XEC,605566473.87
GUSD,601313636.85
MIOTA,600283381.12
GMX,579157376.28
AGIX,560905492.13
TWT,553419566.17
GT,540474564.57
CFX,504480821.66
PAXG,500707099.43
RUNE,483969675.6
CVX,440660701.28
CSPR,437354340.95
FLR,440710312.22
ZIL,438249521.96
1INCH,427286867.44
LRC,435365973.57
FEI,424451944.08
OSMO,418428226.55
ENJ,417381666.55
XDC,414031192.08
SSV,387842922.07
BAT,384523222.37
DYDX,377813002.57
YFI,373739781.49
FLOKI,368996104.55
ETHW,368882946.39
XEM,363518533.87
NEXO,361346566.01
T,351941002.95
BONE,352864296.36
FET,353656226.51
LUNA,344940926.6
KAVA,341706361.17
CELO,339737990.52
HNT,333519215.19
COMP,332361029.43
ANKR,332852488.38
ROSE,329517694.26
MOB,325855465.09
TFUEL,319095246.23
DCR,318705188.28
HOT,319135163.71
RVN,316599460.06
QTUM,308452517.79
BAL,305051682.53
RNDR,303961453.87
BNX,303330851.25
WOO,296594686.81
KSM,293106013.78
AR,291103231.44
BLUR,282554708.63
ENS,279882668.09
ASTR,279003752.11
BTG,277572152.1
MAGIC,272289222.89
LN,269297235.45
SUSHI,267346899.68
GNO,266770090.99
AUDIO,266661511.53
ONE,255147664.84
JASMY,254188866.94
GALA,253048193.01
WAVES,250946134.65
GLM,248741476.48
DAO,249578014.71
XCH,244770550.27
INJ,244187885.55
JST,243937059.23
OCEAN,242018996.08
GLMR,238272887.85
IOTX,235864393.05
USTC,235287284.87
KDA,229147496.8
MASK,225461547.75
GMT,221215552.77
BAND,214465527.3
AMP,213275165.3
BNX,213934935.32
ICX,212202428.3
OMG,209812126.97
SC,210067745.56
CHSB,208722753.04
XYM,204566719.61
BICO,204360414.93
ZRX,201748504.72
LQTY,201289487.04
RSR,196783373.04
ELON,196241866.28
HIVE,195734353.53
ONT,194580982.38
FLUX,194464548.32
IOST,194157368.36
BRISE,192688315.12
XCN,190601190.39
MX,182346105.78
BORA,181080757.27
ILV,179724029.62
CKB,179892125.85
POLY,177573726.73
SKL,172553866.92
WAXP,170271458.49
SFP,166000702.18
KEEP,164374798.78
DGB,164894906.39
ELF,160243668.97
EVER,163273385.51
LPT,162614909.38
ACH,163414030.67
RIF,164892738.64
SXP,159860634.53
STORJ,154820586.86
SYN,150446523.27
ZEN,144234456.43
UMA,143150659.06
CORE,142166506.59
RLC,140450993.56
MULTI,139259453.58
LSK,136449333.88
MED,134499800.27
METIS,132030518.31
STG,130924172.93
AXL,128436666.84
CELR,126920203.39
BTRST,126537642.98
SCRT,125089086.51
NFT,124618976.78
