coin,mkt_cap
BTC,170034976661.75
ETH,20660936266.93
XRP,10953472897.59
BCH,6906342984.26
BSV,5051860964.6
USDT,4644893208.29
LTC,4494447998.53
EOS,4017311929.48
BNB,2869369978.09
ADA,1445896374.6
XTZ,1326090827.2
ETC,1324661544.7
XMR,1307725291.11
TRX,1276003942.01
XLM,1271202562.86
DASH,1075967932.85
LINK,991403500.42
LEO,887179304.23
MIOTA,857466759.98
NEO,851110870.82
ATOM,840319053.42
HT,821875508.15
CRO,727200101.42
HEDG,723470266.12
ZEC,586050416.26
MKR,552154451.92
ONT,500330876.13
USDC,445776906.37
XEM,429069572.38
INO,356749140.06
MIN,353016913.73
VET,347074078.02
BAT,317936494.36
DOGE,304011347.03
PAX,226736102.27
FTT,225002313.72
QTUM,218647060.54
DCR,208553486.87
INB,206688826.25
BTG,193419390.06
SNX,192066998.24
FLG,188487730.49
ICX,164563913.94
REP,157690481.61
THR,157405683.28
RVN,153603115.53
ZRX,150319112.97
THX,148641337.79
ALGO,138348586.0
OMG,136804225.37
TUSD,136060135.04
XET,131304596.59
OKB,129971981.31
ZB,124664848.72
MONA,122907732.22
SXP,122289231.58
LSK,119736098.49
XIN,118772830.08
CNX,115914997.79
BCD,115018413.08
PZM,114564859.21
HOT,110610929.57
NANO,109800886.18
DAI,105284831.54
