coin,mkt_cap
BTC,443014963855.39
ETH,207103611495.11
USDT,66486127948.63
USDC,54275863425.54
BNB,52099211446.08
XRP,18008096794.9
BUSD,17919074504.39
ADA,17796329481.18
SOL,14089000374.02
DOT,9552753760.3
DOGE,9146340282.66
AVAX,7933884703.3
DAI,7524168018.41
MATIC,7285073636.08
SHIB,6607752112.39
UNI,6551678761.48
TRX,6435238348.72
WBTC,5482588755.55
ETC,5138778222.26
LEO,4667618100.33
LTC,4331682642.19
FTT,4131052449.96
LINK,3900988631.95
NEAR,3757935580.69
CRO,3704236298.18
ATOM,3255686523.18
XLM,3116643836.83
XMR,2992244704.43
FLOW,2718394719.85
BCH,2705486996.82
ALGO,2471081707.05
VET,2268469540.88
FIL,2246792163.04
APE,2211519140.52
ICP,2053471234.53
MANA,1962763409.27
XTZ,1707237282.28
SAND,1692260693.54
THETA,1665408045.68
HBAR,1621982633.73
EGLD,1542138450.34
AXS,1537429682.15
QNT,1523646117.0
AAVE,1417587624.79
EOS,1225230852.27
TUSD,1206597650.81
BSV,1184756206.12
MKR,1100741696.42
HNT,1093837176.06
OKB,1092957330.56
ZEC,1053862334.92
KCS,1041743785.8
MIOTA,950358378.27
USDP,946401725.97
FTM,944286290.42
RUNE,919927427.01
BTT,916457986.72
CHZ,906843409.48
GRT,884252723.5
KLAY,867508844.16
XEC,866874139.12
NEO,808598075.79
LDO,770664385.35
USDD,745477727.71
CRV,732710348.08
USDN,710179766.22
STX,650686963.06
HT,673559393.55
WAVES,659540387.14
BAT,642401695.8
LRC,638747358.05
CAKE,631772797.53
ENJ,611758272.57
PAXG,600825953.44
ZIL,596056141.83
DASH,579223526.12
DCR,563486838.25
GMT,557750832.94
KSM,556307253.62
ROSE,536541034.2
MINA,534054719.64
KAVA,520746291.69
BTG,505380905.15
CELO,494456236.75
AR,488634796.26
TWT,485615480.69
SNX,468912192.49
XEM,463250354.4
CVX,459989574.68
1INCH,461052472.72
HOT,456129713.93
COMP,451923373.99
OP,448801336.53
QTUM,427157788.22
GALA,423267988.63
GNO,420871599.24
FEI,420635750.95
NEXO,420022186.32
YFI,418429043.88
RVN,412368866.14
KDA,393101735.11
XDC,388372830.43
GT,371761564.23
AMP,353710228.19
IOTX,347927460.27
TFUEL,347951843.21
CEL,345578737.51
ENS,340673537.38
BORA,339168147.71
OMG,327176436.19
ANKR,319459398.71
USTC,317124985.57
ICX,310564243.28
AUDIO,306787658.37
XYM,306569883.08
ONE,301517113.88
ZRX,299934654.81
JST,292200650.27
LPT,285418146.2
IOST,282853759.25
WOO,281885756.69
KNC,279832466.39
GLM,270584847.81
IMX,267968138.96
SRM,265368178.69
BAL,259542599.94
STORJ,258651114.05
GLMR,256337819.59
HIVE,258096748.76
ONT,252918065.08
BTCST,243770801.97
SC,243495895.22
ZEN,243511755.45
WAXP,241954315.79
SKL,236540429.91
SXP,229387973.12
POLY,212025053.55
GUSD,208305213.08
UMA,208548682.75
SLP,208995830.82
XCH,203738907.61
BTRST,202514458.8
SCRT,197378439.8
CHSB,197158972.57
CEEK,194534207.41
DGB,191679899.51
SUSHI,191379878.73
CSPR,189271652.77
RNDR,188743653.94
PLA,180843182.0
ELON,179900613.25
NFT,178380592.12
MXC,176590604.29
PEOPLE,173861957.74
PUNDIX,164771059.82
KEEP,163353557.73
CKB,161857155.26
CVC,161676527.46
LSK,156370400.2
FLUX,159249362.7
CELR,159018390.72
DYDX,155845527.04
REN,154185809.05
ACA,152122226.91
MED,149327893.02
XNO,140240116.69
ONG,140082761.43
NU,139229153.32
WIN,137555114.93
DAG,137451385.31
RLY,135463994.84
REQ,132814686.86
EPS,132745945.51
RSR,133082512.03
ORBS,132589104.65
NMR,130419279.53
POWR,125864064.37
OCEAN,125273450.91
COTI,124981231.95
MX,125197732.08
CFX,124091076.58
FX,124268133.58
BNT,124520997.07
CHR,122438266.71
SYS,122535149.3
PROM,119568311.72
API3,117897216.42
FXS,117397326.83
DENT,117272603.75
JOE,117067932.56
XYO,116360746.74
SPELL,115641032.01
SNT,115290788.49
BICO,114211203.75
ARDR,113510879.47
C98,108874389.23
DAO,108434504.75
RAY,108111399.89
CTSI,106396725.29
SUSD,104812960.92
