coin,mkt_cap
BTC,1101324021018.88
ETH,352114562456.67
USDT,112204931885.8
BNB,72406011944.91
SOL,61083162174.13
USDC,33731094587.87
XRP,23393827164.84
TON,17725858086.06
DOGE,15116039715.88
ADA,12398538838.35
TRX,10865895817.06
AVAX,10135157017.28
SHIB,9135786706.41
DOT,8492930594.89
LINK,7510846394.2
BCH,6170917603.24
DAI,5346416894.05
LEO,5347087216.93
NEAR,4819688257.15
MATIC,4724154166.81
LTC,4637643859.35
UNI,4588103161.36
KAS,3844329968.91
PEPE,3544368062.43
ICP,3221348350.55
ETC,2919646880.18
FET,2805324204.12
XMR,2750559303.31
APT,2533985971.5
RNDR,2470230231.47
XLM,2448439867.25
HBAR,2310292103.71
ATOM,2263342222.52
OKB,2213223608.67
CRO,2178853610.9
FIL,2063688623.62
ARB,2102574322.11
MNT,2047282092.42
MKR,1971077482.27
STX,1941412693.54
FDUSD,1914437593.16
VET,1832392643.42
IMX,1787972110.73
INJ,1743130125.81
WIF,1662239559.3
GRT,1656472329.26
SUI,1607178579.02
OP,1550929119.71
TAO,1515750644.86
NOT,1476812075.17
BONK,1448298868.59
AR,1434920919.22
BGB,1413759784.24
LDO,1396251659.52
FLOKI,1304392981.27
THETA,1254407929.75
ONDO,1251147298.04
AAVE,1163195863.78
FTM,1164918823.59
JASMY,1135333788.97
RUNE,1122391352.88
BRETT,1064967764.16
ALGO,1038341100.18
TIA,994659536.32
PYTH,989005469.25
JUP,931886126.58
EGLD,891094677.69
CORE,869544159.08
FLR,862672192.62
KCS,843079475.16
QNT,835027815.1
AKT,811791860.48
SEI,790035866.99
STRK,783800970.19
FLOW,764522230.71
USDD,740132352.99
DYDX,741374412.86
ENS,738077999.54
AXS,736626087.94
EOS,737036791.94
BTT,731203692.34
OM,722140120.31
BSV,685855449.82
XTZ,682981371.24
BEAM,681435915.87
GALA,677263760.34
NEO,654065904.18
SAND,647164103.11
ENA,646067593.96
GNO,618726273.78
GT,622327009.5
ORDI,606435233.06
XAUt,588543330.29
SAFE,578795928.58
NEXO,572311264.69
CHZ,565125085.78
MANA,562727576.12
XEC,564501283.61
RON,558704139.6
PENDLE,561355360.78
ZK,541526536.97
CFX,530678922.51
ROSE,523607486.23
KLAY,513289786.26
MINA,512716526.5
WLD,501908623.56
SNX,500405619.36
DEXE,497998750.54
BOME,498065394.45
TUSD,494531378.49
HNT,490360281.64
W,486793285.22
WEMIX,487698509.02
IOTA,481104718.78
CAKE,471175300.94
AXL,470116985.41
1INCH,464258267.92
AIOZ,455009562.13
MOG,449506192.81
PAXG,437614421.77
DOG,435024746.58
ZRO,440276785.02
XDC,428719452.79
LPT,429227157.2
APE,423023582.17
NFT,420079245.71
CKB,416078694.11
RAY,408944349.99
TFUEL,412396828.16
TWT,405452192.54
KAVA,400391284.78
PYUSD,398176571.22
BNX,393765349.37
BTG,393964882.59
MX,390453667.04
FTT,379059835.13
COMP,376116165.64
LUNC,371379781.96
AEVO,368628412.26
SFP,359190791.32
ASTR,345647249.52
1000SATS,343060380.05
IOTX,339757144.03
ANT,325770078.04
WOO,327036498.59
OSMO,308518841.67
CRV,306198301.67
ETHDYDX,307032022.43
KSM,305828874.41
ZEC,304817676.94
SSV,300917085.55
GLM,297352806.13
MEW,297878889.82
RPL,290968711.51
XRD,288893634.86
GMT,287747628.8
MEME,285830896.47
LUNA,278055054.52
JST,273906416.59
ARKM,273416439.05
ZIL,270471567.82
TRAC,268224706.62
MANTA,265683823.28
BLUR,266498211.31
PRIME,264184496.77
DASH,260237157.5
HOT,259773225.71
PEOPLE,260154851.22
ELF,248716195.32
ENJ,259074052.87
CELO,258587402.6
SUPER,251441149.08
BLAST,252189210.77
ZRX,247708101.99
BAT,247137810.85
ANKR,246703632.78
ILV,244754737.22
CSPR,239419920.04
ID,236130059.61
JTO,234459736.48
RVN,233155797.78
GMX,231530559.94
SC,228365063.4
BICO,227482419.57
GAL,227491672.47
ETHW,228219500.56
QTUM,221968073.4
SKL,220021702.14
ETHFI,219079936.06
RSR,217145123.83
DYM,215637675.13
METIS,214099025.95
ABT,211752289.98
CFG,211003750.25
CVX,206155977.77
CHR,207111485.32
DCR,202518909.76
MASK,201007907.84
IO,201053446.42
TRB,198415544.3
