coin,mkt_cap
BTC,1869076078866.35
ETH,303838965574.3
XRP,170195049509.74
USDT,142432746624.39
SOL,90603917359.53
BNB,88753393092.75
USDC,56372818322.25
ADA,39772540539.24
DOGE,35475396425.47
TRX,20991596958.64
LINK,11111236945.67
HBAR,11091309738.73
XLM,10753103795.79
AVAX,10327967325.98
SUI,10137962995.23
LTC,9633318202.0
LEO,9071849871.59
SHIB,8922759453.19
TON,8759010883.03
DOT,8075222476.19
OM,7427111817.86
HYPE,6832261772.12
BCH,6624919402.73
USDe,5461882070.44
BGB,5405245944.98
DAI,5365954731.06
UNI,4957752033.76
XMR,4235866582.2
NEAR,4218074416.29
APT,3976184560.57
ONDO,3764554390.34
PEPE,3714154708.49
ICP,3478063084.08
AAVE,3368268272.24
TRUMP,3373272216.77
ETC,3167577691.67
TAO,2969725648.82
OKB,2898841213.98
MNT,2655606931.96
POL,2602670472.85
VET,2606334935.13
ALGO,2459470800.93
RENDER,2289671861.06
KAS,2314736795.36
CRO,2188488400.73
FIL,2284390234.59
TIA,2264368216.63
JUP,2198226713.71
S,2153990030.0
GT,2052028339.74
FDUSD,2040769156.21
ARB,2044825506.19
ATOM,1917785218.87
OP,1891290780.21
FET,1786893950.61
DEXE,1546257473.57
IP,1547688755.31
ENA,1526472166.9
KCS,1479911967.3
INJ,1415978541.09
IMX,1328289373.72
STX,1330834081.99
MKR,1323665857.99
XDC,1313412226.18
WLD,1299064711.93
THETA,1293133975.67
MOVE,1268737250.39
SEI,1256585105.59
GRT,1233237726.5
LDO,1232416372.29
BONK,1210131643.17
QNT,1188097155.61
FLR,1110848438.21
JASMY,1002376650.61
EOS,991670426.31
IOTA,961966125.47
BERA,917519478.63
XTZ,886105094.59
SAND,894927200.36
ENS,860366180.49
FLOKI,850687393.29
GALA,838903446.35
JTO,831756790.54
RAY,826022192.73
FLOW,818216682.05
NEXO,806867299.37
PYTH,801185468.82
VIRTUAL,786208922.01
KAIA,764362765.25
BTT,770128214.79
WIF,759963457.17
PYUSD,753522597.69
BSV,741878886.55
NEO,724545536.85
EGLD,710046943.17
XAUt,704714615.54
GRASS,672371900.13
ZEC,655898257.7
CRV,645802746.92
RON,645944003.56
HNT,639233067.44
STRK,630930365.98
AXS,631688374.09
MANA,619582031.2
CAKE,608436683.69
CFX,604287865.41
SPX,606695334.22
PAXG,600853494.07
XCN,593218671.82
AR,588249404.53
PENGU,580986359.19
MATIC,580607954.69
FTT,573488724.46
DYDX,571019513.55
AERO,570288986.05
CORE,533979949.6
APE,517519717.99
KAITO,511299480.17
PENDLE,509777806.69
DEEP,505879371.55
CHZ,505385397.72
MELANIA,497047252.87
TUSD,494178749.46
RUNE,491855196.94
XEC,493174518.26
KAVA,492854353.25
MORPHO,488908191.36
AIOZ,484641794.15
AI16Z,487969008.91
COMP,480755209.66
BRETT,453800462.27
RSR,456573641.0
TWT,447559068.8
NFT,442952114.5
AMP,437177257.93
BEAM,437569545.66
AKT,430826973.46
W,420725121.67
EIGEN,419421240.44
AXL,420561903.97
GNO,419092076.28
MINA,417350792.12
LUNC,393528478.13
ZK,382207780.83
BNX,355639315.14
FARTCOIN,350023881.89
1INCH,354390958.61
GLM,351510715.4
SNX,342228322.76
KSM,340590094.85
CTC,336200951.79
DASH,332067900.41
SUPER,332568773.52
JST,329486719.4
NOT,327833947.5
SFP,322019456.57
TFUEL,323406671.89
MX,313498802.28
BLUR,311918942.53
CKB,313142253.03
ZRO,306959918.42
ROSE,303572700.18
ASTR,303067050.53
ZIL,291238463.67
LPT,288491907.74
POPCAT,284279013.23
MOG,286208828.59
QTUM,286496982.34
SATS,281519177.36
ORDI,274563516.58
ACH,273951904.63
VTHO,275526957.36
SAFE,270483413.0
BAT,270940516.16
ZRX,269314710.6
Máximos histórico (ATH),272078599.52
WEMIX,261928337.14
HOT,260665249.28
VANA,259345178.73
ID,257344753.05
TURBO,254496978.65
BabyDoge,254570530.98
CVX,250084827.86
XCH,249439510.07
MOCA,246987681.53
ETHFI,244826813.96
MEW,243927542.76
PNUT,238566622.78
CELO,240277537.37
SUSHI,237811936.01
ZKJ,239001725.6
GAS,236863515.35
ONE,232373198.97
OSMO,230144989.79
ZETA,227940835.77
MASK,229177163.75
ZEN,228199779.36
ANKR,225442139.47
WOO,223746149.36
RVN,220977787.25
