coin,mkt_cap
BTC,368272636367.55
ETH,130354920626.22
USDT,66169266578.19
USDC,55823349220.82
BNB,35754443110.53
BUSD,17534713957.66
XRP,15552125745.52
ADA,15377222959.95
SOL,11465283748.49
DOGE,8912747929.92
DAI,6900983061.55
DOT,6758841572.72
TRX,6127028339.98
SHIB,5512757228.87
LEO,5463759130.8
WBTC,5024037903.24
AVAX,4707781238.09
MATIC,3688244673.68
UNI,3607589189.0
LTC,3600711101.74
FTT,3298915385.87
LINK,2898757554.41
CRO,2861761183.54
XLM,2728424686.19
NEAR,2411707835.52
ATOM,2318803811.92
ALGO,2159001439.87
XMR,2111261236.8
BCH,2017394601.92
ETC,2007901475.52
VET,1636686692.46
FLOW,1602343561.31
MANA,1549025789.4
APE,1367468844.2
SAND,1311212067.99
HBAR,1315386808.36
XTZ,1302570352.98
ICP,1268811950.19
THETA,1213571866.54
TUSD,1207447480.93
FIL,1206868175.8
AXS,1169753613.69
EGLD,1149825037.79
HNT,1109057844.22
BSV,1014184959.38
USDP,945885756.91
EOS,936754941.96
MKR,882251181.48
KCS,816163419.02
ZEC,803187012.78
AAVE,801803698.93
USDN,763364258.84
BTT,754951201.43
MIOTA,750098364.42
OKB,740273939.44
XEC,731286279.86
USDD,716298876.33
USTC,672734752.85
KLAY,678976415.41
HT,673770062.38
QNT,671747557.48
FTM,653497455.65
GRT,651226664.33
RUNE,644826592.25
PAXG,604676367.09
BAT,599474358.52
CHZ,590964813.86
NEO,584407312.71
WAVES,560202885.06
STX,509043929.18
LRC,505747035.56
ZIL,502889812.98
GMT,486440595.57
DASH,462103746.09
CAKE,441601777.25
ENJ,428674189.41
CRV,427257573.07
FEI,418893348.45
KSM,418919299.02
CELO,392373191.45
AMP,390511259.89
KAVA,384817250.01
AR,388599710.68
XEM,388563831.96
GALA,369791399.66
HOT,357453535.19
MINA,354323055.15
COMP,353451972.13
1INCH,349565612.44
NEXO,326538779.5
GT,321191352.35
DCR,320334973.53
XDC,304978644.63
SNX,297915287.29
QTUM,293892790.63
TFUEL,291211395.25
XYM,288617408.96
GNO,286511586.3
BORA,278371741.46
KDA,273750115.35
BTG,268859145.58
ICX,266099101.56
CVX,264650056.07
STORJ,258523581.66
OMG,255419398.29
ZRX,251270294.66
IOST,250162836.23
JST,248888764.73
AUDIO,247786282.69
ROSE,241974017.32
RVN,242002112.05
IOTX,238755095.21
GLM,230946159.97
ANKR,225798004.91
KNC,219783752.73
CEL,215865448.03
YFI,212479334.12
TWT,212420241.78
MXC,211035073.61
IMX,210893186.15
ONE,209082354.5
ONT,206319704.96
GLMR,208014075.14
CEEK,203519687.99
SRM,202985786.81
SC,198499371.59
LPT,197746927.05
HIVE,195270481.05
WAXP,194427944.22
XCH,191788103.47
CHSB,190479073.61
SXP,190217511.45
BAL,189171374.96
BTRST,185511421.76
ENS,181621416.87
NFT,183268439.63
UMA,178617916.6
ZEN,171830037.58
ELON,171702549.68
POLY,171438781.1
WOO,169565186.85
GUSD,168616986.3
SKL,163737958.25
SLP,160453350.36
CSPR,159755412.02
PLA,157144139.34
LDO,158595449.9
SCRT,153685063.39
KEEP,146231982.25
DGB,144168812.72
CVC,139264911.57
LSK,132831298.47
EPS,120726388.03
REQ,132095191.55
MX,130387083.21
RNDR,129718116.08
SUSHI,129287408.22
RSR,127712650.43
ORBS,122173618.97
ONG,115374316.2
OGN,119923497.77
PEOPLE,118464986.06
NU,119042696.75
REN,117846667.03
CKB,114518701.01
STRAX,114627918.71
BNT,112303652.91
MED,111877145.61
REV,110473736.79
WIN,109414940.56
POWR,108109473.32
XNO,107830061.13
ACA,107070218.43
RLY,105273271.06
SNT,104267465.66
OCEAN,103411237.33
PUNDIX,102446233.59
CELR,102435801.54
WXT,102215406.1
ARDR,102456013.08
DYDX,102198299.1
CHR,101603175.99
NMR,101157216.48
