coin,mkt_cap
BTC,179540253701.4
ETH,27276459502.4
USDT,9215681003.7
XRP,8974728442.39
BCH,4687107479.81
BSV,3576181987.23
LTC,3029051320.83
BNB,2713654464.64
EOS,2628357333.97
ADA,2246692653.28
XTZ,2115782949.69
CRO,1873371767.36
XLM,1603256958.34
LINK,1522476590.65
LEO,1244833512.33
TRX,1212213636.77
XMR,1171616023.65
HT,975970463.99
NEO,831035876.51
ETC,796352760.76
DASH,745070743.48
USDC,735558465.33
HEDG,726308752.17
MIOTA,669668930.67
HEX,665728109.78
ATOM,577194964.66
MKR,546605932.53
ZEC,487852972.72
XEM,416808612.63
MIN,414112631.88
VET,402171575.31
ONT,398368421.83
CCXX,362097154.83
TNC,353062336.92
INO,352686723.22
BAT,344090620.52
OKB,328680394.06
DOGE,325471959.42
FTT,281462418.97
PAX,245528373.86
OMG,238082493.62
THETA,231934460.48
ZIL,228194920.2
DGB,227208440.28
ZRX,211420906.1
PLF,207523434.75
DCR,199355668.85
BAY,198146051.3
HBAR,197303717.28
ICX,182953228.5
ALGO,178692681.26
QTUM,174389222.49
BUSD,167367136.87
MWC,167353157.75
SNX,166101618.99
BTG,162303976.69
LSK,162221539.22
ENJ,161904198.14
REP,159166988.45
VEST,151108971.47
ELAMA,142127317.21
NANO,140712218.75
TUSD,137440545.78
DAI,135814147.63
KNC,133766272.37
HYN,129566097.93
RVN,127648536.8
HUSD,122224522.13
MONA,120524386.06
WAVES,116916214.11
DNA,116873168.91
BCD,111320709.84
SC,111236722.36
ZB,106295320.28
HOT,104393245.44
