coin,mkt_cap
BTC,156238987739.91
ETH,24069393931.83
XRP,10018780809.13
BCH,5735791486.26
USDT,4644680725.41
BSV,4182980992.03
LTC,3720790354.57
EOS,3253825123.55
BNB,2949478829.75
XTZ,1842690210.54
LINK,1357836407.04
ADA,1190893585.98
XLM,1136566220.94
XMR,1130665391.85
TRX,1100215361.47
HT,1051670471.64
LEO,956124212.55
ETC,902890981.98
NEO,801741236.7
DASH,796493790.01
CRO,731917787.69
HEDG,711158957.59
FLG,676100706.63
ATOM,642291145.53
MIOTA,587699443.66
MKR,537061422.88
ZEC,453702306.9
XEM,440114170.03
USDC,439323845.46
ONT,436513151.48
OKB,328119558.22
BAT,302490934.29
VET,301520649.11
DOGE,281031073.16
INO,273733090.12
FTT,247242795.18
PLF,246117658.51
MIN,239085403.69
DNA,232559132.32
PAX,199387891.98
QTUM,196896920.8
INB,192941977.95
ALGO,187558529.98
DCR,184791412.55
LSK,166308628.71
XET,160862207.52
BTG,159618138.9
ICX,151229086.98
ZB,145900631.37
ZRX,144403565.22
THR,144139835.12
TUSD,142379280.72
KNC,141617743.24
RVN,141080803.84
THX,137912425.3
REP,136465842.0
SNX,134834249.72
XIN,119758435.91
OMG,118718495.4
BCD,118263168.18
DAI,116656789.95
HBAR,115805122.58
WAVES,113083726.22
MONA,108778239.57
CNX,104498730.7
THETA,102539564.67
