coin,mkt_cap
BTC,143607672862.46
ETH,18697637484.06
XRP,11112666133.08
USDT,4157697859.38
BCH,4031015784.73
LTC,3513746873.64
EOS,2760544953.59
BNB,2387329910.37
BSV,1466721705.85
XLM,1188801304.53
ADA,1019553042.08
TRX,986179655.13
LEO,972579234.13
XMR,957040023.99
LINK,765835879.32
MIOTA,751393369.7
HT,749185359.33
DASH,640641899.09
XTZ,579113085.98
ETC,518461858.79
NEO,510992646.14
ATOM,508541849.81
MEXC,507094694.95
USDC,480030265.95
MKR,435640431.71
CRO,361219107.9
XEM,354775729.42
ONT,326511322.46
INO,286297348.78
DOGE,285110218.07
ZEC,274257355.62
PAX,261417422.47
BAT,252538187.51
HEDG,224660847.04
TUSD,194910736.0
VET,187736345.46
DCR,177747291.71
QTUM,163358254.63
THX,162115153.89
VSYS,144907236.62
RVN,141147414.87
ZB,137300553.48
BTG,136888982.9
EKT,136625175.03
THR,130777180.56
ZRX,128577354.32
OSC,128184085.7
OMG,124393237.09
INB,118374886.92
SXP,114032334.91
HOT,112549587.19
ABBC,108844904.2
LSK,103647357.69
