coin,mkt_cap
BTC,1552379740919.1
ETH,190266985013.64
USDT,143982377476.8
XRP,111765274512.28
BNB,79013780161.8
USDC,60316658778.71
SOL,54491987839.4
DOGE,22140231585.75
TRX,21819683757.35
ADA,20204869631.14
LEO,8192838842.96
LINK,7394618590.74
TON,7201324274.31
XLM,6959895372.18
SHIB,6653282311.97
AVAX,6642324411.53
SUI,6230088364.31
HBAR,5897685648.94
DOT,5755618763.47
OM,5543102098.68
BCH,5398063061.41
DAI,5365707028.47
LTC,5321473094.74
USDe,5169739650.47
BGB,4899026971.07
PI,4199746210.03
XMR,3670126656.33
HYPE,3411609159.58
UNI,3199422741.14
OKB,3137937723.66
PEPE,2655314196.21
APT,2625545093.06
NEAR,2589032881.7
MNT,2367812191.38
ONDO,2304937793.58
ICP,2207750775.58
FDUSD,2178084768.74
CRO,2165334515.3
ETC,2140088805.37
AAVE,1948919314.81
POL,1775322415.21
GT,1771675804.29
ATOM,1735255266.32
VET,1695778523.85
TRUMP,1582264826.45
TAO,1570596601.17
FIL,1535767352.35
ENA,1525081058.65
KAS,1504584649.4
RENDER,1437871965.67
ALGO,1387136538.15
TIA,1381091478.54
S,1258329970.24
ARB,1236198842.8
DEXE,1231450124.98
EOS,1115810510.82
KCS,1078164980.35
IP,1041402395.33
XDC,1029374092.44
OP,992534439.67
MKR,972532887.46
JUP,959382527.08
FET,918210923.06
STX,807560927.01
WLD,779672167.53
QNT,779509656.48
MOVE,774158088.03
BONK,767721452.33
FLR,760974576.29
XAUt,740623622.11
PYUSD,732984094.5
FORM,729396555.61
GRT,714569935.88
INJ,705620458.05
SEI,705576050.21
THETA,698495187.8
IMX,685783244.16
PAXG,665733308.83
NEXO,629067301.25
LDO,621417436.29
XTZ,603246514.68
KAIA,591816855.62
BTT,586675267.62
SAND,575245693.85
GALA,568708608.65
ZEC,567689908.93
CRV,551747992.41
IOTA,544257348.4
BSV,530339346.02
FLOW,525433986.66
BERA,503762928.0
TUSD,494478277.64
JTO,489308090.27
CAKE,478711733.13
FLOKI,470182398.99
ENS,468524142.6
JASMY,455717296.14
RAY,453344206.75
FARTCOIN,441322306.41
KAVA,437310804.78
HNT,436581770.19
PENDLE,425390472.98
PYTH,419617360.55
DYDX,417472977.13
NFT,416964220.63
MANA,409486510.06
CORE,400259600.1
AXS,394232441.87
GRASS,392757036.32
SPX,385883828.97
RUNE,365125144.41
CHZ,360398657.78
CFX,357233615.98
STRK,355790725.24
RSR,354828460.32
EGLD,354704563.57
COMP,354391948.56
RON,350663098.77
XEC,345084052.6
AR,339631223.12
W,334491160.49
WIF,333597332.69
NEO,333569955.37
LAYER,314430909.01
JST,304516405.25
VIRTUAL,303202030.55
FTT,300698859.16
LUNC,298719492.01
TWT,295280802.59
MELANIA,293803013.33
APE,291433912.89
AXL,289248289.72
XCN,282158301.92
BEAM,280661876.48
AMP,276855174.25
ZRO,276582816.38
CHEEMS,268383521.6
GNO,262308212.6
AERO,259374278.45
ZKJ,255207505.62
PENGU,253603739.84
MX,250344503.78
MINA,248107123.06
BRETT,246636572.52
DASH,243486249.87
AKT,238233987.84
SAFE,237672316.08
SFP,233747053.27
CTC,230830310.8
SUPER,229475040.91
AIOZ,225702371.15
1INCH,225559651.92
GLM,218020611.06
MORPHO,215399359.52
Máximos histórico (ATH),213420889.17
KSM,209587320.99
SNX,207302730.84
WEMIX,206758622.8
BLUR,205974104.29
TFUEL,203760363.03
MEW,199790169.94
ZIL,199229431.52
KAITO,195013457.85
ZK,188193179.96
DCR,185453362.5
QTUM,181988504.44
ZRX,179824134.92
NOT,178945682.29
BAT,178848487.22
ASTR,176783693.32
CKB,176019781.1
EIGEN,174436337.65
ELF,172840500.3
IOTX,172815955.21
BabyDoge,171268156.59
CVX,166111568.85
ACH,165067178.41
VTHO,163188483.26
ZETA,163182784.33
DEEP,162746216.74
ID,161434531.38
DGB,159069011.02
TRAC,156171195.82
SUN,154828443.26
OSMO,154747713.52
CELO,153589254.39
LPT,153297184.41
HOT,152933817.61
YFI,151779224.3
ANKR,150269843.91
ROSE,149817812.16
SC,149443363.59
MOCA,149090007.68
HMSTR,147616125.92
RVN,146683442.92
VANA,145629633.76
FXS,142698937.17
UXLINK,142045233.73
POPCAT,134927907.1
ONE,133985735.91
