coin,mkt_cap
BTC,116026767355.96
ETH,37413358766.58
XRP,18964013318.93
BCH,10963857058.65
LTC,6440317479.29
EOS,4335133899.13
ADA,3908969399.94
XLM,3832217994.86
NEO,3074775180.82
XMR,2788623376.39
MIOTA,2765070019.62
DASH,2326517507.38
USDT,2286705393.97
TRX,2113910955.06
XEM,1879113659.05
ETC,1369824365.14
BNB,1286571421.31
QTUM,1191228345.27
VEN,1168107250.81
OMG,825762098.08
ICX,796397682.96
LSK,731540605.54
BTG,697260237.5
NANO,691933120.08
ZEC,658661211.41
XVG,646453890.17
BTM,468370181.05
DGD,442242034.91
PPT,423698288.85
BCN,397194824.11
STEEM,368909427.69
WAVES,349103260.04
AE,343687507.21
RHOC,343270241.81
SC,342025095.17
BTS,334825815.23
STRAT,333907600.72
BCD,325726338.73
DOGE,309486055.84
MKR,302258269.62
SNT,291958085.0
ZIL,286241911.05
DCR,277115690.98
REP,267857074.74
ZRX,263210295.9
VERI,261271906.8
KMD,242276885.29
HC,235844085.15
WTC,235058189.34
ONT,232973554.2
AION,222176539.5
ARDR,213610116.61
LRC,210630061.18
CNX,207515481.86
KCS,203260555.03
QASH,202539619.8
PIVX,202434834.09
ARK,193053032.43
BAT,186136320.23
IOST,183212267.61
MONA,178708595.19
DGB,172325901.89
FCT,168400258.96
NAS,168211658.95
GNT,160941485.92
GXC,154512791.63
R,152229164.6
GAS,151708011.55
VGX,145988879.21
DRGN,139774949.3
SYS,138897650.06
FUN,135422178.4
ELF,130244016.65
KIN,129684009.06
XZC,128950739.34
ETN,128514317.42
STORM,127624945.05
MITH,126957993.09
KNC,125014980.95
SUB,114636213.59
SALT,109172280.47
NXT,108257543.46
GBYTE,107013399.29
MAID,107009774.7
RDD,105308775.68
ENG,102102789.58
NCASH,101750621.75
REQ,100465126.26
