coin,mkt_cap
BTC,195907875403.02
ETH,23867371248.81
XRP,13712472284.6
BCH,5982644434.3
LTC,5868857449.0
BNB,4285994666.62
USDT,4046865534.54
EOS,3928841375.24
BSV,2687245449.4
XLM,1611200658.02
XMR,1511132702.24
TRX,1494683390.08
ADA,1458935743.8
LEO,1317753308.83
DASH,960930851.96
XTZ,948979104.34
LINK,874189200.67
NEO,842787100.99
MIOTA,793152554.89
ETC,688533138.21
ATOM,688488764.21
MKR,589088254.43
XEM,570345732.8
ONT,513564751.54
CRO,482568146.0
ZEC,470615784.53
USDC,421167169.41
VSYS,400738825.32
INO,381751900.24
DOGE,354483149.25
BTG,307873894.29
BAT,301193121.57
VET,295563671.52
QTUM,290262336.55
DCR,289238714.81
EGT,268798851.9
HEDG,264408321.34
HT,232172986.58
OMG,215570494.13
TUSD,206379550.02
PAX,202248693.98
SLV,182861260.84
PLC,172355442.83
RVN,168315715.48
BTT,161841795.07
THR,161595193.33
KCS,160944025.94
LSK,155711381.63
NANO,155278829.45
BCD,154068980.87
KBC,147147932.77
HOT,140107726.94
NPXS,137181912.85
WAVES,136556771.38
NRG,132453889.65
AOA,130826469.57
XET,128716796.34
MONA,127857741.13
ZRX,127835291.45
QBIT,124349966.21
BTS,123791648.36
DGB,121728987.71
REP,120879908.39
IOST,119640875.43
ICX,119269811.27
THETA,118680573.31
BTM,118455125.8
GXC,115269127.62
KMD,113901955.72
HC,112943365.95
EKT,112388765.71
SC,112319839.69
NEX,111688254.76
INB,106882009.75
LAMB,106808687.6
BCN,103643256.33
XIN,102320014.38
