coin,mkt_cap
BTC,125427699521.28
ETH,29942684302.64
XRP,13581073194.53
BCH,11191425039.78
EOS,5980466213.32
XLM,4219203425.17
LTC,3815602835.1
USDT,2835999243.48
ADA,2707627078.72
MIOTA,1981227886.02
XMR,1972849952.46
DASH,1762067924.05
TRX,1681287692.19
NEO,1429076366.42
ETC,1389414413.22
BNB,1079236239.04
XEM,1012851744.78
VET,987930408.04
XTZ,847391872.85
ZEC,733690967.35
OMG,609307777.88
DOGE,579769607.62
LSK,513810126.74
ONT,458397992.39
BCN,454913001.09
ZRX,427145823.76
QTUM,426628083.38
NANO,398524943.07
DCR,372103693.81
BTG,368428923.11
ICX,358107688.98
DGB,348883422.91
ZIL,345396439.6
MKR,342036344.39
BTS,326311691.28
XVG,283169985.58
STEEM,275703543.93
AE,272513384.96
SC,268276398.44
BAT,231729105.11
REP,222347902.3
BTM,220532719.89
WAVES,212271976.47
NPXS,202778506.08
BCD,198307981.44
WTC,182630239.14
GNT,175365241.72
STRAT,168907877.49
ETP,167791395.43
PPT,160182121.54
SNT,149202507.34
HOT,148508708.18
KMD,148080131.6
WAN,146208069.87
RHOC,145730024.27
HC,143967688.74
IOST,138150107.86
MOAC,135542281.49
KCS,133136885.82
MITH,131982920.27
MAID,129734400.01
AION,125493758.67
DCN,121789784.69
ARDR,118418865.92
CNX,109858375.19
ELF,109306365.25
RDD,109161022.96
LINK,108828383.68
HT,107074879.74
DGD,104496780.4
