coin,mkt_cap
BTC,254569759062.59
ETH,44888307221.41
USDT,16660908761.15
XRP,10859147268.26
BCH,4966023215.63
LINK,4505164094.0
BNB,4110036786.41
LTC,3656933388.56
DOT,3602960876.34
BSV,3055524326.97
ADA,3055149296.56
USDC,2928676111.04
EOS,2354568950.58
XMR,2245789059.92
TRX,1843620256.34
CRO,1774246996.23
XLM,1638302979.69
WBTC,1606961708.12
XTZ,1486194807.34
LEO,1262119794.87
NEO,1050503798.11
ATOM,971713146.06
DAI,937185380.65
XEM,884018334.88
HT,860664031.6
FIL,823233355.12
BUSD,709636760.28
MIOTA,698350898.29
VET,674491882.52
DASH,671697326.79
THETA,611795509.16
ETC,606571496.78
ZEC,602860459.85
MKR,544777972.15
UNI,507214061.62
OMG,438974335.86
COMP,379435220.46
UMA,381573502.25
ONT,352384472.74
AAVE,345465544.0
FTT,343112357.18
CEL,337686393.33
WAVES,332383891.11
DOGE,327678834.58
YFI,319823549.32
SNX,303487342.54
BTT,294077848.14
ALGO,280835698.22
BAT,280251806.91
DGB,278973148.2
HUSD,278411615.29
KSM,271822801.12
OKB,272577390.27
TUSD,257255145.24
ZRX,249812773.43
PAX,245610189.21
REN,236464577.16
ABBC,232749022.36
CELO,203624783.06
OCEAN,196730962.34
QTUM,195667501.41
ICX,192817299.45
ZIL,189175500.33
HEDG,188460777.75
EWT,184885200.68
HBAR,176073570.44
QNT,166074771.94
LRC,165706990.56
KNC,156908099.79
DCR,149824287.49
REP,137805446.19
LSK,128692413.63
BTG,126942543.28
ANT,121030018.65
REV,120505297.53
NXM,118503362.93
ZB,118782576.85
CVT,117456878.77
LUNA,115840980.41
SC,113564036.57
RSR,112657983.79
NEAR,110923368.56
TMTG,110251146.1
AMPL,109373198.96
EGLD,105338658.13
ENJ,104574453.36
STX,103499151.96
