coin,mkt_cap
BTC,545719315434.05
ETH,208471009287.78
USDT,83246238290.15
BNB,33545795242.04
XRP,27946579472.92
USDC,25132933912.99
SOL,9844132494.96
ADA,9342534384.34
DOGE,8925275654.05
TRX,8025916797.69
TON,7299872808.48
DAI,5348848171.28
MATIC,5287236357.16
DOT,5240023925.51
LTC,5029841521.31
BCH,4727608863.58
WBTC,4552278669.52
LINK,4481026225.55
SHIB,4431442859.69
AVAX,3449800992.3
TUSD,3446590100.5
LEO,3396211017.52
XLM,3174508011.38
ATOM,2778382876.24
XMR,2735496345.45
UNI,2687172007.73
OKB,2615413197.82
ETC,2390423650.67
BUSD,2260294753.88
HBAR,1698623180.73
FIL,1569285115.31
LDO,1504160548.21
ICP,1474078980.43
MKR,1447925157.43
APT,1348941084.12
CRO,1308843505.95
MNT,1290374069.82
VET,1271355218.69
ARB,1236448927.85
NEAR,1132089767.34
OP,1127020119.0
QNT,1111133393.24
AAVE,1051589100.33
GRT,859923842.63
ALGO,832201291.89
USDD,726912545.82
STX,722609106.16
IMX,717645046.7
XDC,714503997.55
RUNE,706312482.87
AXS,676094713.95
EGLD,674534175.68
XTZ,673574145.31
THETA,670260800.84
INJ,666368967.92
EOS,666580730.14
SAND,666020800.02
BGB,634905544.63
BSV,625489085.02
RNDR,629582436.53
MANA,612761275.67
SNX,587442796.61
FTM,582394854.81
NEO,536650065.86
KAVA,526296087.09
XEC,496425194.49
FLOW,486716368.37
USDP,484265325.8
CHZ,479926666.02
APE,471026569.8
CRV,471364573.29
PAXG,463015906.38
ZEC,458225419.01
XAUt,458976106.06
RPL,457310610.84
KCS,454215045.08
CFX,444964262.5
MIOTA,438299690.88
FXS,436736377.89
SUI,433698891.47
HT,388804154.18
MINA,385327099.71
GMX,384151162.22
COMP,379539007.32
KLAY,377549814.05
BTT,373366759.66
LUNC,373672517.95
CSPR,372241236.32
GALA,368212079.3
DYDX,368579522.2
GT,358760774.73
TWT,330532164.46
NFT,328457970.83
DASH,324148915.89
WOO,321428619.49
PEPE,318790751.84
NEXO,314825257.61
GUSD,300273773.78
AR,290508876.72
ROSE,286539537.04
1INCH,285470430.64
ZIL,285316190.21
BAT,276096059.0
GNO,271438924.77
CAKE,270240611.1
ASTR,268019051.17
FLR,268271616.61
CVX,259349926.87
XEM,244975321.83
SFP,254211282.07
LRC,251929544.32
QTUM,249367455.96
ENS,247929097.91
AGIX,241496983.98
CELO,239425128.23
XCH,237066997.57
ELF,237238292.45
WLD,234726755.71
BTG,229954521.81
ENJ,232394741.7
MX,231012208.06
MASK,226767274.81
SEI,224425970.49
JST,221200273.39
TFUEL,220299898.67
HNT,217650968.69
DCR,216401796.08
RVN,207455188.81
ANKR,206387692.63
ANT,206158835.08
OCEAN,204284696.75
TOMI,200639118.85
GMT,196209552.92
STORJ,195217905.18
LPT,194942244.07
LUNA,192967644.25
FET,190765378.53
BONE,189584736.27
GLM,186344446.71
FLOKI,183226665.35
AKT,184865771.94
YFI,184459211.96
HOT,184031171.65
WAVES,182689397.72
BLUR,180744585.85
BAL,181062356.69
GLMR,178839665.48
ICX,175989908.21
JASMY,174854114.33
SC,174161895.89
T,173380351.21
AUDIO,173058793.68
SXP,172573684.41
SSV,172126737.94
IOTX,172772150.26
KSM,167134990.74
ZRX,167243330.14
LOOM,165092171.57
BICO,162716363.4
BAND,161358593.34
OSMO,157424517.27
ONT,154610293.38
HIVE,154134842.34
ILV,150200702.87
WAXP,150364041.72
ETHW,148812705.09
MC,149592657.3
SUSHI,143408579.4
IOST,143022361.14
AXL,140748141.84
ONE,138254551.48
MAGIC,137786245.82
TOMO,130128142.68
USTC,127460709.89
KDA,122876040.83
KNC,120100476.12
CKB,120524326.91
CFG,119267467.75
ZEN,118482971.54
STPT,117378718.32
SKL,116293129.91
GAL,114632570.39
BORA,114403476.86
ACH,109173280.55
DGB,108347292.19
UMA,107529803.77
FLUX,105561087.36
DAO,104091254.36
MOB,102339765.82
CTSI,101678282.13
API3,101087571.62
RSR,100308089.41
