coin,mkt_cap
BTC,684667682720.62
ETH,227808286583.56
USDT,85429541975.51
BNB,37064414920.03
XRP,35447962462.23
USDC,24592859150.18
SOL,17323908541.64
ADA,12088278814.61
DOGE,10093220208.81
TRX,8717440860.62
TON,7812735633.51
LINK,6808995686.12
MATIC,6409480640.53
DOT,5962268675.94
WBTC,5753698307.45
DAI,5346569724.65
LTC,5291679359.55
SHIB,4798199741.65
BCH,4657746279.62
AVAX,4394404023.78
LEO,3672798896.17
XLM,3515513177.04
TUSD,3340900623.71
OKB,3159371663.44
ATOM,3125197047.57
XMR,3114568546.11
UNI,2813992762.47
ETC,2591657823.39
FIL,1908652421.66
BUSD,1897942510.73
HBAR,1874660276.78
ICP,1822196547.99
LDO,1804884825.92
CRO,1772362508.8
APT,1712716215.07
NEAR,1622837975.71
VET,1494540720.53
ARB,1393971511.24
OP,1357720670.9
INJ,1351425911.55
AAVE,1305391424.96
MKR,1299220129.19
MNT,1286369931.53
IMX,1163893330.14
QNT,1224906185.92
EGLD,1253119619.35
GRT,1178115572.01
RUNE,1134640457.25
ALGO,964064308.95
BSV,958109529.18
STX,918195134.62
NEO,933109125.54
RNDR,882492960.7
AXS,812048019.37
THETA,793204871.23
SAND,777276460.17
XTZ,775748729.05
MANA,764646988.78
EOS,750173844.27
FTM,740213863.77
XDC,722933663.3
USDD,725048381.74
FDUSD,683492119.86
SNX,679966047.46
KAVA,664914321.16
BGB,659447836.54
CHZ,602936227.45
MINA,593029158.58
FLOW,598240671.44
XEC,581676986.67
CFX,557705301.63
CAKE,555643005.35
TWT,550172684.95
APE,536804836.39
GALA,521295503.78
IOTA,519498610.5
KCS,514976668.75
CRV,510856727.83
RPL,500087386.41
XAUt,490842421.94
FXS,482534014.51
SUI,484106645.85
PAXG,473821504.98
PEPE,469207607.72
ZEC,468313369.24
USDP,462586720.18
KLAY,455898360.05
ROSE,447107421.25
BTT,437151505.48
ETHDYDX,436641012.04
AR,435341678.51
GMX,434461501.75
CSPR,419672104.48
WOO,398626634.1
COMP,394863067.0
NEXO,389930880.79
HT,388332596.77
GT,384070235.73
LUNC,376457095.58
ZIL,354712658.96
DASH,351011544.5
1INCH,345507533.92
NFT,339919143.77
QTUM,328999989.65
TIA,326004714.22
BAT,324597250.68
AGIX,307850496.63
SFP,306766688.08
XEM,299502595.21
ASTR,297381052.07
FET,297519301.31
BLUR,296526413.3
CELO,298673748.97
ENJ,296772975.16
FLOKI,295211708.33
LRC,295203656.08
FLR,293787795.91
JST,289596066.59
TRB,284636610.16
GNO,285525422.7
MASK,278656006.49
CVX,280491587.42
MX,278240079.61
BTG,266455239.04
TFUEL,268950547.22
GMT,265403350.91
HNT,265936571.49
LUNA,260285352.86
HOT,257707536.78
ENS,255968905.61
ELF,249552688.1
AKT,243810849.98
XCH,243554010.46
ANKR,244286378.41
ILV,238182894.69
OSMO,237724480.98
RVN,234503394.7
IOTX,232016759.6
OCEAN,231167623.65
SUSHI,228272994.27
WAVES,230186875.65
GLM,227606325.22
ZRX,226381867.28
T,223747211.38
ICX,221767897.32
KSM,221821515.68
SEI,211349971.28
DCR,215785792.87
SC,214339011.26
AUDIO,208837355.49
JASMY,209228679.03
ANT,207591622.86
BAND,207235456.78
WAXP,204073243.1
WLD,204050034.72
SNT,207835588.66
YFI,198275977.37
SXP,196921651.41
BAL,196263058.83
LPT,194566797.36
ONT,194010484.64
ONE,185608164.08
HIVE,180707608.17
GLMR,175390764.24
ETHW,176602403.95
LQTY,173985259.29
MEME,175181988.14
AXL,172748977.65
STORJ,167084564.19
BICO,164867297.08
IOST,164162455.09
POLYX,165018022.41
GUSD,161206421.83
BONE,160766761.57
CFG,155656096.84
MAGIC,156178060.53
SSV,152613767.8
CKB,149456831.07
KDA,144958253.28
ZEN,141214777.69
SKL,140343135.41
LSK,138032560.45
LOOM,138773052.0
BORA,137345941.92
KNC,137912827.76
GAL,137085599.87
TOMI,136317002.3
STRAX,131687921.02
PUNDIX,130452340.99
ACH,129844118.93
ORBS,130651408.37
STPT,129275934.18
PYR,129782210.22
RSR,127550046.66
VIC,126479292.35
FLUX,125169006.91
ONG,129946386.35
DGB,122751627.39
CTSI,122134128.04
CELR,121472433.22
