coin,mkt_cap
BTC,401792318391.33
ETH,192400441552.21
USDT,69366918016.01
BNB,54294354064.46
USDC,42187827667.8
XRP,23634830440.86
BUSD,22543376722.7
DOGE,15204923054.18
ADA,13840734879.51
SOL,11740670592.5
MATIC,9939375600.36
DOT,7848721049.44
SHIB,6496405100.98
DAI,6173008697.82
TRX,5788111160.87
AVAX,5469964214.63
UNI,5398489366.32
WBTC,5133378373.49
LTC,4871861328.89
ATOM,4146727657.12
LINK,3992307275.96
LEO,3977812061.03
ETC,3424170623.14
CRO,2989418474.7
FTT,2962384378.22
ALGO,2864239654.68
XMR,2819115543.55
XLM,2800344621.55
NEAR,2537669156.7
BCH,2242865762.13
TON,1966759719.47
QNT,1891311869.52
FIL,1844650956.49
FLOW,1788926744.63
VET,1790608649.26
CHZ,1644754163.9
LUNC,1527972519.48
APE,1455190176.72
ICP,1401101281.39
HBAR,1360592527.16
OKB,1312193138.61
EGLD,1296305867.32
SAND,1269994829.52
XTZ,1257764032.13
MANA,1230807499.6
HT,1229892189.59
AAVE,1221787304.46
THETA,1201475426.11
EOS,1119929480.22
XCN,1113162383.44
KCS,980356351.99
AXS,946643043.65
APT,948800425.37
USDP,939829869.7
BSV,903094918.72
BIT,861431289.45
MKR,821380913.75
TUSD,808574951.99
ZEC,788031714.68
GUSD,788437151.27
SNX,768724092.37
BTT,761746912.5
MIOTA,723440748.01
USDD,721816580.06
XEC,719470558.84
CAKE,694585876.59
FTM,678290379.51
KLAY,677965969.78
USDN,662527941.07
ETHW,650825860.77
GRT,623908463.73
NEO,603976860.16
NEXO,556931310.72
PAXG,541377556.7
RUNE,532877769.86
GT,518659098.76
MINA,505134441.75
CRV,506107620.96
HNT,505020337.4
LDO,493326975.64
TWT,490490030.71
DASH,480501380.79
AR,474779841.35
BAT,473909615.22
ENJ,448111282.61
LRC,445014118.66
KAVA,438301430.25
OSMO,438676551.93
STX,428060634.99
ZIL,424140864.08
BNX,425510958.6
FEI,420346638.72
CSPR,412265092.9
DCR,397836852.83
1INCH,394975987.85
XDC,378413964.72
CVX,369494173.56
WAVES,367569325.17
USTC,362261879.9
RVN,358611373.54
HOT,356352385.05
COMP,353936069.77
XEM,355760075.14
CELO,344227411.34
IMX,342265290.65
ENS,332087821.4
GMT,329165658.38
IOTX,326438102.09
ROSE,323973589.82
TFUEL,316232980.76
BTG,312688283.89
KSM,306652562.89
GMX,307251340.09
GNO,304411774.08
OP,302458936.23
BAL,301671304.44
LUNA,304133197.84
QTUM,298016399.23
YFI,290851775.78
RSR,287926572.03
ANKR,284301518.35
CHSB,280303522.34
GLM,275284428.9
KDA,259484188.18
ONE,251122005.54
GALA,250708781.17
JST,250840253.8
POLY,248804025.82
LPT,246113651.72
CEL,240135322.34
RNDR,232176789.65
OMG,234503110.76
ABBC,224656604.78
SUSHI,218881065.52
T,219211991.6
HIVE,218500985.0
ZRX,217835827.3
ELON,216414624.18
XYM,214836792.75
GLMR,214875559.54
ICX,210249149.4
IOST,208812509.45
WOO,206821243.37
AUDIO,205707824.76
BORA,207189893.0
AMP,205251217.05
SRM,200497900.92
ONT,198609664.95
FLUX,197925233.86
BTRST,198043542.21
WAXP,191987522.14
RBN,192741704.78
INJ,190578937.29
STORJ,188653605.17
XCH,181895439.89
ZEN,178309593.5
SC,172852872.94
SXP,164128649.99
NFT,164742258.44
ASTR,164616165.52
SKL,159423646.31
UMA,158933428.77
SLP,155024390.09
SCRT,151608837.16
DGB,147692183.33
KNC,146175762.57
PLA,145280167.04
MXC,142689272.88
MASK,138137203.41
PEOPLE,136073339.21
SYN,138679144.94
OCEAN,133553789.35
PUNDIX,129405374.74
EWT,129111912.27
CVC,129004868.89
LSK,127441915.11
REN,123870422.69
DAO,119980883.11
DYDX,118532418.07
METIS,119745918.41
CKB,115435751.58
COTI,114882606.99
MED,115050262.56
CELR,113714762.06
KEEP,112720908.55
API3,110342766.76
REQ,111624166.4
FXS,111757097.94
TRIBE,111469696.42
XPRT,110810274.76
CEEK,108995073.8
MDX,105494490.28
ONG,106195515.55
PYR,105601020.0
SYS,105790099.26
BTCST,104922716.4
VGX,104360263.94
SSV,104217274.64
RLC,102986613.81
NU,104144673.35
