coin,mkt_cap
BTC,609409213147.03
ETH,111309985610.91
USDT,21340101768.04
LTC,10610100156.81
XRP,10254417776.8
DOT,8995148461.43
BCH,7845655333.38
ADA,6377915101.91
BNB,5942182740.66
LINK,5453374284.89
USDC,4208024428.08
WBTC,3819401682.96
BSV,3190473983.67
XLM,2989656210.89
EOS,2625024378.63
XMR,2458046204.5
THETA,2121383111.85
TRX,2113567006.58
XEM,1894334537.88
VET,1667128428.69
XTZ,1611874059.91
CEL,1550137281.5
UNI,1465283748.26
LEO,1352249983.05
CRO,1344967496.37
DOGE,1248577459.11
ATOM,1210730092.41
DAI,1225566701.05
BUSD,1157897748.64
NEO,1125832592.5
AAVE,1097389994.14
SNX,1047398232.67
REV,990994029.97
HT,980332092.87
FIL,955278055.73
DASH,882036803.67
MIOTA,860234815.52
ETC,762713768.36
ZIL,734455058.52
YFI,710506937.0
MKR,676648940.74
FTT,653255343.58
COMP,646224973.86
ZEC,641512542.35
SUSHI,617734418.96
KSM,614696239.23
DCR,597289951.51
WAVES,573198199.48
ALGO,506613483.19
UMA,471900532.73
OKB,453106267.04
DGB,451812174.87
OMG,426574507.42
RENBTC,415451403.61
ONT,402724717.1
EGLD,399355180.2
GRT,369564933.9
NEXO,341546762.21
STX,342144898.92
BAT,323205023.92
LRC,327674367.9
LUNA,321266937.25
BTT,310193850.94
RSR,305424449.82
REN,294686303.8
ZRX,294490417.95
NEAR,289994369.58
ICX,281034731.22
TUSD,274948839.7
AVAX,267198080.18
AMPL,254235433.17
PAX,244621384.49
QTUM,240450738.17
CHSB,239567854.3
RUNE,234709777.25
NANO,225319410.55
HBAR,223439067.25
SC,216701085.65
HUSD,197568935.89
EWT,189837823.25
REP,186281303.28
UST,182900503.09
ABBC,179837129.77
CELO,179453097.86
KNC,166419868.67
NXM,166339881.07
OCEAN,165526034.81
TFUEL,158547289.48
LSK,153533474.44
BTG,156179905.8
XVG,155725024.54
HEDG,153600740.58
ZEN,142151841.72
BAND,137608362.07
MAID,137497428.04
BNT,133939953.4
QNT,130584901.79
HOT,125917760.1
ZB,126395855.02
GNO,125914489.26
CVT,123133565.67
SNT,121312363.42
ANT,121175914.21
MANA,120814039.59
ENJ,111434747.6
BAL,107974737.68
RVN,109864694.31
CRV,104403922.05
NMR,106393984.07
CHZ,106056605.39
RIF,105495029.91
SOL,100672674.81
