coin,mkt_cap
BTC,320025834692.4
ETH,146966709631.13
USDT,66243294943.48
USDC,44584840756.22
BNB,39053263491.06
XRP,17054534692.06
BUSD,16566063279.88
DOGE,9316760628.85
ADA,8621727158.32
MATIC,6637843574.08
DAI,5749546793.98
LTC,5095932559.91
TRX,5041253171.65
DOT,5035576982.99
SHIB,4460494919.94
UNI,3998664734.41
SOL,3671464072.16
AVAX,3385625121.75
LEO,3361642259.36
WBTC,3041420123.05
LINK,2856200812.2
TON,2817518613.94
XMR,2707283905.23
ATOM,2710342840.08
ETC,2188313231.23
XLM,1893577776.71
BCH,1868535141.95
OKB,1647232775.85
CRO,1435710780.75
APE,1395907440.09
QNT,1277150807.48
ALGO,1266736278.24
VET,1162906084.16
ICP,1121673214.97
FIL,1119505572.52
NEAR,1076948379.21
HBAR,957314615.24
EOS,947517699.34
LUNC,901776663.55
USDP,877158348.97
TUSD,799751385.72
BSV,795919462.62
EGLD,787677189.79
HT,784932502.2
THETA,732688329.1
AAVE,733491947.97
USDD,711770755.85
BIT,696127648.41
FLOW,680680827.74
CHZ,671787229.03
XTZ,662828803.13
KCS,643501413.07
AXS,632185620.11
GUSD,604446966.07
ZEC,596739332.96
BTT,594188926.85
TWT,590853723.45
SAND,582958437.77
MANA,559156404.41
FTM,556103308.57
CAKE,521983958.36
MKR,501543038.13
PAXG,494343220.57
GRT,492947081.71
MIOTA,477700758.22
DASH,467580276.8
KLAY,461040272.05
APT,458465768.18
NEO,451182474.73
XEC,425079737.46
RUNE,420552420.6
FEI,416494135.43
NEXO,376120428.7
SNX,367603381.82
GMX,347781937.99
MINA,343073025.0
OSMO,338589449.94
LDO,338036856.27
GT,325779056.64
FXS,321988562.84
ETHW,320670845.48
XDC,316881365.57
USDN,307763725.41
1INCH,302474320.47
CSPR,299208908.94
IMX,295480329.54
STX,287796708.08
CRV,279961046.42
DCR,270055031.58
XCN,260321319.86
XEM,259356229.09
ZIL,258119974.11
LRC,251855386.16
BAT,251394475.55
HOT,249669202.28
ENJ,243431390.6
BAL,241906536.64
CELO,232278879.55
CVX,232231405.76
RVN,231811484.17
COMP,229523250.26
ENS,220476373.62
OP,216700634.35
GNO,216671915.11
AR,212365236.6
SUSHI,208916657.46
HNT,207732358.21
BTG,204700776.4
IOTX,202217040.21
ROSE,199559186.87
CHSB,198256698.38
USTC,197660853.38
BNX,197102081.21
QTUM,196150885.21
KAVA,196046610.47
KSM,190626262.95
TFUEL,188670462.76
YFI,188230760.8
KDA,188053221.21
GLM,180076871.95
JST,177527092.88
XCH,174134512.42
XYM,170676257.15
LUNA,163330528.62
GLMR,161587885.34
ELON,156206304.03
WOO,151679295.12
ASTR,151178646.89
ANKR,151273711.43
JASMY,152692695.84
OMG,146315147.66
WAVES,144365396.51
GMT,144421141.01
MASK,142798988.4
FLUX,142339797.21
BONE,141805452.41
ICX,134650265.59
ONT,134439559.98
POLY,133232930.72
ONE,132807571.22
HIVE,131618471.49
AMP,130542131.96
T,130504759.01
SFP,129313934.41
IOST,128639015.74
ZRX,127578346.48
DGB,125058081.64
AUDIO,124279386.33
ZEN,124286390.22
LPT,123807665.34
RSR,121124198.46
BTRST,120331740.7
SC,119858612.14
NFT,120281934.01
GALA,117613982.66
CEL,115467480.29
MAGIC,106097525.82
UMA,103931381.98
SXP,103050694.93
RNDR,102565015.02
STORJ,102920285.7
PEOPLE,102297713.84
SSV,100433554.05
RBN,100304799.86
OCEAN,100018873.75
