coin,mkt_cap
BTC,1146976665063.02
ETH,323059710353.71
USDT,114491072540.08
BNB,72536450053.01
SOL,64261166209.76
USDC,33273324291.1
XRP,29309824036.25
TON,15162033924.63
DOGE,15082960842.07
ADA,12353157088.35
TRX,10988673529.86
AVAX,8386141239.34
SHIB,7855215132.81
DOT,6918784220.93
LINK,6610975114.0
BCH,6551712415.15
DAI,5346929957.74
LEO,5233935107.12
LTC,4668830446.45
NEAR,4581466483.38
MATIC,4170082759.01
KAS,4078789740.89
UNI,3688716596.42
ICP,3422051211.96
PEPE,3395594875.05
ETC,2801231990.02
XMR,2775570367.78
XLM,2592070859.35
APT,2506922401.47
FET,2327621667.05
OKB,2105421163.7
CRO,2067384189.09
FIL,2030467337.13
MKR,2018911580.08
STX,2012853277.89
FDUSD,2002226677.11
HBAR,1981302468.23
ATOM,1970125151.16
MNT,1911916640.43
ARB,1887622613.53
VET,1809711660.72
RENDER,1777858929.18
INJ,1711699985.14
IMX,1695730003.78
OP,1578560609.59
TAO,1556958588.65
SUI,1496324655.56
AAVE,1446820242.04
WIF,1436243666.84
BONK,1372871236.44
AR,1375446112.0
GRT,1375578708.83
BGB,1360763396.09
FLOKI,1166893962.96
THETA,1139061616.52
NOT,1120793983.52
JUP,1109884194.63
JASMY,1107430603.98
LDO,1084275363.14
RUNE,1077420838.71
PYTH,991997358.33
FTM,959717450.91
TIA,951985805.21
ONDO,949344178.2
CORE,946749653.3
ALGO,943047664.13
BRETT,823920053.05
OM,818963066.1
FLOW,806795376.28
SEI,794045370.16
KCS,789040967.55
BSV,786816513.31
USDD,737868452.46
BTT,737135196.8
EGLD,729714466.02
QNT,723768588.6
EOS,709728606.59
AXS,698215926.87
HNT,678047377.65
FLR,668309857.53
XTZ,656404456.35
PYUSD,656805452.6
DYDX,655457253.44
NEO,645104896.29
STRK,647315168.0
GT,626057834.45
BEAM,619826950.7
XEC,624090072.59
ENS,608481828.28
XAUt,601890997.61
SAND,594360953.87
GALA,584233820.37
ORDI,578936616.03
NEXO,554896636.07
AKT,550767876.66
CFX,536419754.93
RON,533766435.03
ENA,527295526.85
WLD,518978441.29
MANA,508727831.71
ZEC,503580601.09
AIOZ,495181169.91
TUSD,494450919.89
CHZ,491758270.7
BNX,493840343.29
BOME,481829914.93
MOG,468656277.89
POPCAT,462246107.14
KLAY,464905392.08
PAXG,457865058.26
MINA,448949456.6
SNX,443453755.81
DEXE,434068811.71
ROSE,432452786.29
GNO,431203837.55
IOTA,428952817.67
RAY,429159689.6
XDC,404406786.69
FTT,402780341.17
MEW,401531849.63
1000SATS,400004181.31
SAFE,396512533.82
ASTR,392890328.86
NFT,390363918.34
ZK,390354563.47
PENDLE,384388463.11
W,389670075.76
BTG,388610452.39
CAKE,381353009.4
APE,366978480.28
AXL,367056028.62
LPT,365895724.43
TWT,364841986.89
LUNC,361142118.48
CKB,358176703.6
1INCH,356256266.34
SFP,351902450.21
ZRO,348062898.88
MX,348216564.98
TFUEL,342630675.2
COMP,341032048.26
IOTX,337657153.8
WEMIX,337534520.11
KAVA,336051653.37
ANT,322928601.51
AEVO,318887279.61
CRV,289360707.75
JTO,289038176.11
GLM,282195528.34
GAL,277719791.58
KSM,268706268.98
PEOPLE,267675645.21
ELF,267277450.83
DASH,264537760.91
WOO,262724434.41
JST,261502337.16
BLUR,258308016.38
MANTA,255416950.86
LUNA,255137229.19
CVX,253047664.17
ZIL,252746996.42
OSMO,249037793.12
ETHDYDX,247515381.63
XRD,247301407.76
SC,245475704.55
ZRX,244283536.69
GMT,244346816.69
MEME,241660514.09
ENJ,241170387.74
ANKR,242161523.9
CELO,240425937.84
SUPER,237879674.01
RPL,234635617.88
BAT,235627594.63
HOT,233187330.12
ID,231968265.98
DYM,230036551.39
TRAC,228469540.78
SKL,224461989.33
QTUM,224965532.24
RVN,217528338.39
PRIME,215753028.16
GMX,211521268.55
ETHW,205360623.61
ILV,201421298.86
ARKM,199250766.53
GAS,197760287.3
XEM,197263007.32
RSR,196194037.03
CSPR,194581186.46
SSV,193826566.61
METIS,193272872.29
T,184543764.13
MASK,184720881.72
BLAST,183578327.08
CFG,182823745.95
BICO,179073558.29
XCH,175999370.01
DCR,175611047.86
YFI,173162222.86
