coin,mkt_cap
BTC,564864625278.2
ETH,219593479527.48
USDT,83766798747.7
BNB,37355531392.32
XRP,32862411390.46
USDC,26040633408.95
DOGE,10433167188.76
ADA,10229109437.43
SOL,9392351696.13
TRX,6881851198.68
MATIC,6213100502.69
DOT,6062110840.79
LTC,6062711119.25
SHIB,5521896059.76
WBTC,4710153848.33
DAI,4500655953.04
AVAX,4354309777.72
BCH,4333112201.32
TON,4131907414.45
LINK,3821475331.34
XLM,3804891653.19
LEO,3713700886.49
UNI,3435754992.66
BUSD,3415751900.81
TUSD,2963106541.27
ATOM,2937804296.27
XMR,2923587079.49
OKB,2698181423.09
ETC,2535643079.61
HBAR,1868327434.89
FIL,1823639025.69
ICP,1815081240.78
MNT,1650954247.6
LDO,1607402910.42
APT,1473843436.3
CRO,1471176573.27
ARB,1449158961.39
VET,1287132194.93
NEAR,1259316163.22
QNT,1229301453.15
OP,1219617887.38
MKR,1194130475.05
XDC,1052439235.19
AAVE,954703246.96
GRT,953104342.21
ALGO,856704618.91
SAND,832677016.24
AXS,815635612.07
STX,806578248.79
EOS,800172929.3
IMX,798478125.42
EGLD,797843051.2
XTZ,761355310.19
USDD,741224847.08
THETA,721220434.43
MANA,707697018.39
APE,684884799.56
SNX,682181789.18
BSV,681177355.25
FTM,663734584.34
INJ,660839616.69
RNDR,600752614.76
NEO,597353252.86
FLOW,572820018.88
KAVA,565692465.8
XEC,566621696.61
RPL,549006338.3
CHZ,546698915.98
CFX,543644443.18
KCS,540975438.12
CRV,532254078.93
GALA,531278379.48
USDP,505112903.3
KLAY,490663006.76
PAXG,481793753.06
ZEC,478713977.37
XAUt,478367461.62
GMX,474338433.43
FXS,471953069.53
MIOTA,471316025.83
LUNC,457960350.27
PEPE,452899960.65
CSPR,455257808.76
BTT,442718764.03
COMP,442340488.5
HT,431427960.84
SUI,427743446.87
MINA,412765194.5
GT,393539891.67
BONE,381765630.81
TWT,370885710.23
DASH,369853328.73
NEXO,360670735.02
GUSD,356775141.7
AR,341893802.06
ZIL,320365948.59
DYDX,318181231.36
NFT,316386977.54
RUNE,316178381.01
CAKE,315280785.42
BAT,312798300.81
1INCH,313407129.55
WOO,305929578.11
FLR,300926822.59
HNT,298731703.76
LRC,288593273.58
ENJ,287312177.32
GNO,286713361.3
MASK,285781406.39
MX,275848315.81
QTUM,270049126.98
ROSE,270882098.32
XEM,269904981.07
BTG,265131711.04
ENS,258282132.02
CVX,257540469.14
AGIX,257067755.86
CELO,256155974.79
TFUEL,254298549.23
BLUR,247332878.03
XCH,246343207.03
WLD,243902602.73
ANKR,241585777.85
RVN,230991041.65
ASTR,224359594.2
OSMO,224413593.41
DCR,223844551.95
HOT,221590629.81
BAL,221007093.96
FLOKI,213833106.53
SFP,212623908.62
YFI,211539475.07
WAVES,212032249.96
JST,209767829.67
OCEAN,209316588.31
T,208529782.02
GLM,207265804.8
GMT,206630174.35
ICX,202086535.61
AUDIO,201278150.77
SC,198469982.77
LUNA,192685822.8
SXP,187434812.71
JASMY,186777727.95
ZRX,185682095.18
KSM,185983846.44
ETHW,183360253.94
ELF,174107577.4
HIVE,173917281.05
SSV,173441532.08
ILV,169205207.61
MAGIC,167913124.94
ANT,167623056.3
ONT,166651534.6
IOTX,166772242.33
WAXP,166931944.5
BAND,162076962.98
IOST,162138701.08
FET,161428122.55
SUSHI,158232947.18
GLMR,158017174.25
ONE,154902826.26
TOMO,152749080.21
USTC,148622741.16
BICO,146767930.1
YGG,143468172.12
BORA,141756148.82
UNIBOT,140169014.9
MOB,138938441.65
AXL,137633704.49
ZEN,131135345.98
CORE,130408054.25
DGB,129741541.88
STG,128858703.58
KDA,127524632.57
SKL,126134773.53
API3,119091548.92
CKB,122942476.75
FLUX,121163754.69
UMA,119342325.35
LPT,117196775.58
KNC,116017469.57
DAO,116339236.0
ACH,113788989.43
RBN,112995481.77
STORJ,111514087.67
LSK,109386156.53
EDU,106934884.0
CELR,107520809.78
CTSI,107563449.92
CFG,107900531.26
JOE,105572057.05
AMP,103214676.13
GAL,102227556.7
RSR,102026467.85
EVER,101074563.32
PUNDIX,100215920.74
