coin,mkt_cap
BTC,121526129417.37
ETH,41521726568.03
XRP,17041936839.31
BCH,12253191128.72
EOS,6394252719.91
XLM,4584030777.53
LTC,4305371522.04
ADA,3415148669.82
MIOTA,2531280519.72
USDT,2435548823.55
TRX,1994066163.9
XMR,1907665145.94
ETC,1832471533.3
NEO,1784109086.99
DASH,1706102302.92
XEM,1321388929.94
BNB,1301186608.96
XTZ,1124105669.67
ZEC,818211146.59
VET,780856952.29
OMG,766570056.3
QTUM,572539072.71
ZRX,515872932.52
ZIL,438486442.1
BTG,436890563.17
BCN,434806595.11
LSK,429299566.07
BTS,425471675.24
DCR,406271022.08
AE,393555690.71
MKR,377337258.67
ICX,358634225.8
DGB,357318636.68
ONT,350462796.51
DOGE,327938100.91
REP,315094963.07
STEEM,315080274.88
SC,289439968.41
XVG,287540286.14
BTM,275364159.06
BAT,253875076.77
BCD,248673913.45
MOAC,245780451.36
HC,221842221.53
RHOC,220203948.22
GNT,219690233.56
NANO,213700151.18
NPXS,206244245.01
KCS,205240055.15
STRAT,202621795.67
SNT,190490534.66
WAVES,186749768.26
MITH,179494576.75
IOST,174884254.49
PPT,174128399.54
KMD,166874666.31
MAID,164092469.41
XIN,157478095.4
DGD,156776840.21
WTC,149932770.7
HT,143048512.92
GXC,141503334.05
ELF,136023834.35
ARDR,135432475.56
KIN,133717796.06
WAN,121668437.64
ETP,120908905.28
AION,117751983.89
MONA,114412361.57
FUN,111217615.24
DCN,110864226.45
CNX,107637776.42
BNT,104542204.55
NAS,104261984.94
BTCP,103055892.34
AOA,102769054.47
MCO,102606566.97
EMC,102522838.78
MANA,101519880.89
