coin,mkt_cap
BTC,189302801341.99
ETH,44776400551.17
BCH,26263314821.01
XRP,9754506575.04
DASH,5944766230.65
LTC,5479548241.69
BTG,5350823031.55
MIOTA,5229847940.13
ADA,3417380962.32
XMR,3087398970.92
ETC,2986403544.13
XEM,2483233898.6
NEO,2380493335.72
EOS,1862159182.7
XLM,1581525066.81
BCC,993908329.08
QTUM,968886209.53
OMG,961996888.43
LSK,894327760.48
ZEC,890061728.94
USDT,814557657.7
HC,767578968.33
WAVES,619872379.3
STRAT,604104844.65
PPT,536207557.66
ARDR,473751711.08
NXT,428312688.54
MONA,408284866.09
ARK,395495890.81
REP,390060997.01
BTS,376078783.07
BCN,365625628.28
DCR,337781149.66
VTC,321472373.97
STEEM,301688973.28
PIVX,293788316.18
KMD,292035024.88
SALT,281900423.79
SC,267990416.81
GNT,263044379.76
BTX,260553851.14
SNT,257489510.86
DOGE,249405999.38
PAY,248897123.88
POWR,248654712.42
MAID,241130561.46
WTC,234022182.02
BNB,220528752.47
DGD,218353607.18
VERI,206062711.36
FCT,202071273.55
EMC2,186023683.68
SYS,179584946.52
RDN,179434379.05
GAS,171275853.23
XUC,170872458.77
BAT,170243859.29
BTCD,167405332.68
KNC,155593028.53
GBYTE,154845869.34
SAN,150156525.74
ICN,149496946.09
MNX,147936275.48
AE,142486607.73
CNX,139543819.49
TRX,139121754.7
XZC,134819993.1
GAME,132601971.97
DGB,129134282.53
GNO,127823164.58
VEN,123210850.1
MTL,121086846.76
QASH,120418385.88
BTM,118038307.58
FUN,115323659.72
GXC,114555145.27
CVC,111983070.5
VGX,108979340.92
BLOCK,107860657.9
ZRX,105670399.96
ETP,103867669.68
