coin,mkt_cap
BTC,123449127399.0
ETH,28307017397.18
BCH,10573190957.24
XRP,7785503580.84
LTC,2939686652.0
DASH,2095468228.88
NEO,1714730815.89
XEM,1622780307.95
XMR,1322356591.89
ETC,1286742287.15
MIOTA,973069678.31
QTUM,745742972.07
OMG,618138154.13
BCC,590713555.89
ZEC,576194461.33
ADA,535005811.95
LSK,508803199.06
USDT,493468901.03
EOS,492068067.63
XLM,443977007.33
WAVES,345388627.05
HC,330733561.71
STRAT,299334550.77
KMD,254521238.63
ARK,230827851.17
BCN,228555996.69
STEEM,214571408.21
ARDR,199915151.34
REP,182739379.88
DCR,177194603.93
PAY,168594991.28
PIVX,166979981.12
GNT,157772017.47
PPT,156575025.77
BTS,154644881.63
VTC,150904278.71
BNB,150665829.15
MAID,146148054.54
BTCD,145692461.31
TRX,145381237.73
GAS,144063768.68
BAT,140744298.7
MONA,140242843.32
KNC,133089206.43
DOGE,132186295.42
DGD,129422790.53
VERI,128856904.24
FCT,125109803.97
SALT,121422240.0
XVG,120260302.52
WTC,119216836.09
SNGLS,110189330.58
GAME,108742090.32
BTM,108656464.49
SNT,107794380.16
SC,105406919.34
ICN,104990217.96
SYS,104554649.6
GBYTE,102578748.03
CVC,100500214.99
