coin,mkt_cap
BTC,505774022624.31
ETH,196688728216.07
USDT,82897999833.78
BNB,32985441374.75
XRP,26756322905.89
USDC,26207173233.96
ADA,8972698220.5
DOGE,8898670560.56
SOL,8001855593.93
TRX,6879948257.01
TON,6457206776.82
DAI,5348127241.8
DOT,5198993181.79
MATIC,5052763365.72
LTC,4706735885.34
SHIB,4531288314.58
WBTC,4232270607.7
BCH,3826841866.49
AVAX,3494932158.41
TUSD,3443023206.21
LEO,3421347006.13
XLM,3269952386.58
LINK,3242099281.05
BUSD,2845327221.01
XMR,2581180178.54
UNI,2548275310.24
OKB,2538102490.85
ATOM,2469001459.32
ETC,2196686836.85
HBAR,1613913683.4
MNT,1459840255.81
ICP,1439754260.26
FIL,1411590448.29
LDO,1354388030.56
CRO,1284010790.15
APT,1250142881.75
QNT,1194400107.39
ARB,1153479098.49
VET,1129631632.57
MKR,1102588778.41
OP,1068246676.12
NEAR,1060108154.35
GRT,800514667.37
XDC,794989828.25
AAVE,795760536.21
ALGO,739452014.21
USDD,723556379.81
XTZ,654052767.11
EGLD,644447591.64
EOS,639491082.11
STX,640083802.53
SAND,630817736.68
AXS,630160922.83
THETA,610790335.65
IMX,609925396.74
BSV,590613718.77
INJ,570736534.51
FTM,563786130.36
MANA,549913148.65
SNX,538645148.14
RNDR,505364668.58
APE,500117237.95
RUNE,494612457.49
NEO,494731130.68
USDP,486615742.08
XAUt,478121306.89
PAXG,477951664.96
KAVA,474966648.48
MIOTA,466913169.55
XEC,455569527.68
FLOW,445196413.08
CHZ,441084075.37
RPL,433425043.67
KLAY,423652220.88
ZEC,404520680.02
BTT,403639135.37
CSPR,400130343.52
FXS,398343121.58
GALA,389263724.61
KCS,388182849.12
HT,384745244.97
SUI,383096446.58
CFX,381085644.78
CRV,378288102.42
GT,375846669.71
MINA,357827975.88
LUNC,346728761.69
TWT,337387552.67
NEXO,328058999.16
DYDX,318495089.39
COMP,314487726.53
PEPE,314519625.72
NFT,310294239.92
GUSD,309379917.09
FLR,303159574.34
DASH,292855325.39
GMX,292822902.35
ASTR,289625498.83
SFP,286944127.71
WOO,284575918.45
CAKE,276344683.91
AR,267609157.67
GNO,261369981.91
MX,260404977.94
ROSE,259401781.97
ZIL,255519014.89
BAT,247857259.71
1INCH,241674507.7
XCH,241650849.42
BONE,241938958.08
LRC,239265122.66
AGIX,231293191.11
ENJ,231556822.9
SEI,230304754.88
BTG,225448154.23
HNT,225151864.04
QTUM,220651016.98
XEM,219180213.39
ENS,216931004.98
CELO,215061639.14
FET,212394123.95
CVX,211758720.78
AKT,209298878.45
MASK,207482081.96
DCR,200916961.56
OCEAN,199339006.28
TFUEL,197385588.18
LPT,196549209.19
RVN,193155548.79
ELF,192818609.32
ANKR,182223793.95
HOT,181954092.94
JST,180720601.71
YFI,178720907.62
OSMO,175527957.33
JASMY,174158500.97
BAL,173399073.23
ANT,172351730.18
GMT,170971705.53
WAVES,167011162.69
BLUR,164948767.24
GLM,165163852.41
AUDIO,163035112.99
SC,158810028.68
KSM,160385887.38
FLOKI,159686763.98
TOMI,157243290.52
ICX,155664665.24
T,154546965.29
ETHW,148394412.61
ILV,147026953.74
WLD,145064484.82
LUNA,143959651.93
SXP,143091066.7
ZRX,139384883.31
BAND,138821051.42
HIVE,138419578.14
AXL,137731419.71
SSV,136390402.49
ONT,134280174.55
BICO,134167697.87
GLMR,133526703.74
MC,133549116.9
SUSHI,131828743.18
IOST,131491962.15
WAXP,130066274.99
IOTX,127703823.46
ONE,126777935.36
NMR,123422051.93
TOMO,122570180.99
MAGIC,115869906.36
USTC,115184631.93
BORA,113098222.3
CKB,111963328.53
KDA,110355890.82
DGB,109549324.19
STG,106480017.4
RBN,106509831.19
DAO,105816928.39
PYR,106428245.21
PROM,100134906.97
MOB,105131723.44
ZEN,102338883.06
UMA,100171744.69
