coin,mkt_cap
BTC,167181726153.66
ETH,25415950648.56
USDT,9177873625.93
XRP,7834382404.72
BCH,4093899884.33
BSV,2837147462.43
LTC,2702477997.47
ADA,2546315062.67
BNB,2407743526.74
CRO,2339156569.55
EOS,2248407010.23
XTZ,1679994710.81
LINK,1659759414.79
XLM,1369104858.06
LEO,1182857301.31
TRX,1122957416.64
XMR,1114029332.87
USDC,1029539264.88
HT,887452401.11
VET,792573610.94
HEX,760868015.29
NEO,709624836.59
ETC,657711745.88
MIOTA,655960586.87
DASH,645414088.55
ATOM,557810084.81
ACA,552593415.53
COMP,531013656.52
ZEC,487791841.11
MKR,472948492.2
VEST,468905932.48
HEDG,435221075.93
ONT,426388837.77
XEM,387215349.12
INO,364843691.84
BAT,363882589.52
CCXX,360832264.27
KNC,291626845.33
ZRX,290673226.16
OKB,289697966.5
DOGE,289277435.5
FTT,269668905.26
DGB,260945066.06
MIN,252745635.13
PAX,244473482.84
TNC,237810397.94
SNX,216081989.25
OMG,208794580.97
REP,198484331.86
ZIL,190333445.95
ICX,190173313.81
LEND,189440546.2
THETA,188779032.1
HBAR,187813615.59
MWC,175939994.83
DAI,174935586.77
BUSD,173823597.73
QTUM,171993600.84
LRG,170029825.9
ALGO,166049959.62
ZLW,165773321.79
DCR,164391518.81
TMTG,160090537.86
HYN,158322696.9
BTG,155325612.24
ENJ,141900882.47
TUSD,140614640.73
LSK,137844828.53
REN,137012308.13
BCD,134725690.39
SC,124526189.51
NANO,123999220.01
HUSD,121077111.29
RVN,119143575.81
NEXO,116787753.16
WAVES,114139657.27
XVG,112216072.05
QNT,110004322.26
LRC,108418277.08
VLX,107881873.54
MONA,106242009.5
ICH,103528091.86
IOST,102936246.08
ZB,100564020.0
