coin,mkt_cap
BTC,1240856664934.87
ETH,419394728670.73
USDT,99490448901.37
BNB,61967269448.05
SOL,57782564591.67
XRP,34278278017.26
USDC,29001243814.25
ADA,25840431494.92
DOGE,22047638692.57
AVAX,16072632301.89
SHIB,13265959753.71
DOT,12890702392.05
TRX,12374304467.04
LINK,12043192028.15
MATIC,10782542134.82
TON,9281884382.97
BCH,9227255756.9
UNI,7558777738.3
LTC,6734012595.72
ICP,6057176039.85
FIL,5440597807.71
DAI,5347217440.84
ETC,4891142891.26
ATOM,4731901837.05
NEAR,4634865069.79
IMX,4613447787.58
LEO,4423660056.3
STX,4398319497.15
APT,4267309183.04
OP,4016217189.06
TAO,3990057158.67
XLM,3870667725.18
KAS,3822818959.32
INJ,3804790689.78
HBAR,3806532783.46
CRO,3585883124.28
VET,3565275183.24
OKB,3491341444.72
FDUSD,3250499946.87
GRT,3014750783.49
LDO,2959297968.59
MNT,2860513150.86
RNDR,2859984752.38
TIA,2760119503.24
XMR,2762361018.4
ARB,2609027020.63
PEPE,2489266972.73
THETA,2380603595.06
BSV,2142387459.54
SEI,2089992409.21
ALGO,2019790870.99
FTM,1962559120.44
AR,1977410624.16
MKR,1933951334.02
RUNE,1925233836.7
SUI,1920600184.23
EGLD,1902912944.62
FLOW,1807158075.13
BEAM,1772289631.9
BONK,1767068746.53
ORDI,1717332371.67
AAVE,1660857567.73
WIF,1608377498.95
FLR,1543608578.59
SAND,1514486458.41
QNT,1482608272.19
FET,1476419059.27
MINA,1460352404.92
HNT,1420709883.13
AXS,1424169129.83
AXL,1387821212.36
BTT,1393332145.87
FLOKI,1403928676.42
CHZ,1365390964.18
SNX,1355058973.79
APE,1349131042.76
STRK,1344629832.83
XTZ,1334281606.58
1000SATS,1333540726.41
TUSD,1289080291.68
BGB,1276384400.31
KCS,1274800056.38
MANA,1252961884.56
JASMY,1209112190.43
GALA,1246421617.21
EOS,1196700622.85
AGIX,1173238803.25
NEO,1155434422.5
WLD,1143274399.35
KLAY,1117692985.43
WOO,1107125846.55
PYTH,1111070960.78
ETHDYDX,1084089017.65
CFX,1082668703.42
ROSE,1078246470.38
AKT,1051563351.63
LUNC,1053938601.36
BLUR,1040405304.17
GNO,1033608809.55
WEMIX,1027101653.49
IOTA,1021771447.97
KAVA,1020912775.08
ASTR,920574475.18
RON,893863013.06
XEC,877396921.72
DYM,864375107.1
JUP,856211896.23
OSMO,857504071.72
CAKE,803591459.76
PENDLE,784817023.87
NEXO,777117163.22
CRV,759258527.71
FTT,750102347.77
USDD,736179530.0
GLM,716181356.93
COMP,722899555.96
MANTA,713990016.49
ENJ,713623737.28
SUPER,701522761.96
ONDO,696711409.75
NFT,692355316.1
ENS,685074500.76
FXS,684140233.53
HOT,673486223.94
CKB,663419723.04
1INCH,674251394.7
CORE,661509807.51
BTG,670031103.83
RPL,642017836.34
XDC,628232807.66
OCEAN,613533635.35
TWT,610394029.1
CELO,609573287.13
IOTX,580066636.14
SKL,577665930.21
CSPR,565412084.94
LUNA,562806855.38
MEME,567209659.19
ALT,563185172.21
GMT,559450289.33
GMX,558107176.05
METIS,557541016.16
SC,548571760.29
TFUEL,563964096.2
ZETA,538185087.62
ZIL,525263409.57
GT,519754092.01
ZEC,516403743.45
ELF,517841425.6
XAUt,513014221.56
XCH,508097183.06
TRAC,503919345.16
GAS,490746495.58
BAT,472286263.53
XRD,469328133.39
LRC,466684502.93
KSM,465401724.65
MASK,464710020.06
CVX,453746181.94
ILV,450191333.11
DASH,444952887.84
LPT,444048370.87
QTUM,438749323.79
ONE,437311339.14
AUDIO,436709583.31
GLMR,429887701.73
XEM,421317653.37
NTRN,422238135.74
KDA,419975753.96
PIXEL,414087268.1
ANKR,419053820.27
RBN,414363555.21
DCR,412405814.07
SUSHI,409007212.54
ETHW,398150930.53
PRIME,395948392.57
ARKM,388841782.65
PAXG,393162956.0
PORTAL,396581576.45
ANT,381811240.73
RVN,380960090.52
XAI,369203747.9
FLUX,368703766.95
SFP,364847036.46
MAGIC,363920389.23
CFG,361494518.32
GAL,359638793.83
VTHO,358054195.56
ZRX,355640994.51
WAVES,355089042.97
DESO,352605116.07
BICO,348168497.88
JST,350019537.34
SSV,347606339.21
UMA,338806782.45
BAND,334116410.7
STORJ,335969926.87
JTO,327106088.46
USTC,332391476.38
API3,326934935.14
