coin,mkt_cap
BTC,329323845088.74
ETH,156669949121.35
USDT,65504085440.86
BNB,46757282793.45
USDC,43408651648.57
BUSD,22149617933.06
XRP,19638535967.25
DOGE,13835723612.44
ADA,11119224610.72
MATIC,8054081647.03
DOT,6388210650.93
DAI,5687716799.68
LTC,5540783571.01
SHIB,5140995141.76
SOL,4991178196.8
TRX,4900297679.04
UNI,4782246148.8
AVAX,4319131735.52
LINK,3782981369.74
LEO,3650095530.46
WBTC,3593465694.26
ATOM,2940009988.63
ETC,2693944018.07
XMR,2592195640.46
XLM,2259672320.29
TON,2216062910.82
BCH,2139426690.01
ALGO,1709971582.44
CRO,1636661265.23
QNT,1558066845.75
FIL,1516920940.83
APE,1444334104.29
NEAR,1441931388.22
VET,1402591483.25
OKB,1305484162.53
ICP,1194748264.54
FLOW,1166752325.84
HBAR,1106024139.33
LUNC,1052004361.48
HT,1027532799.8
EGLD,1029476072.96
CHZ,1021351839.63
TWT,1010861130.29
EOS,1001589981.66
USDP,944198345.85
XTZ,924125486.75
AAVE,908789325.8
THETA,891529097.1
SAND,885301242.09
XCN,825356578.08
TUSD,814112484.71
BSV,809802601.56
MANA,761028407.31
ZEC,726722220.27
USDD,713491087.05
AXS,687878723.45
APT,675326263.87
BTT,660393802.61
CAKE,645511095.63
BIT,638901878.7
KCS,638334993.25
MKR,635161138.34
FTM,616940638.74
GUSD,604087782.68
USDN,596099200.89
MIOTA,590312586.24
PAXG,582612662.32
XEC,569595843.37
KLAY,568407391.1
DASH,494745435.05
NEO,487493361.22
RUNE,455541186.18
MINA,442025510.93
GRT,442337240.01
SNX,437634203.37
ETHW,434766039.43
GMX,426273405.35
FEI,420604995.89
GT,392776094.75
NEXO,385984395.05
IMX,362443666.03
CRV,356704625.34
BAT,347714456.67
LDO,346545934.27
LRC,340631451.17
STX,333916593.53
1INCH,330986490.05
CELO,334140128.85
CSPR,320696884.01
DCR,312147144.87
ENJ,312585106.12
ZIL,311660918.3
KAVA,310768573.79
AR,311058888.61
HNT,306638734.87
HOT,299572157.72
XEM,296010528.41
ENS,285544069.65
CVX,284210955.94
BAL,281321134.25
OSMO,279144218.18
COMP,274790007.67
ROSE,270099515.7
XDC,267639719.48
YFI,268299818.7
RVN,263637571.01
BTG,261797758.12
MASK,261959443.73
WAVES,258690728.53
KSM,249603327.18
OP,251236815.56
TFUEL,244828410.77
CHSB,239227619.97
GNO,237574744.2
GMT,236668923.13
KDA,232183451.04
QTUM,229791137.16
IOTX,228749505.9
GLM,224629018.41
USTC,217624417.11
LUNA,210361232.9
ANKR,210480079.6
POLY,201860732.72
JST,197706128.04
XYM,194403641.12
ONE,191893403.25
BNX,190729178.49
LPT,188234117.31
XCH,185867911.73
GLMR,184552328.56
ELON,181409660.17
HIVE,173672266.3
GALA,175829731.99
RSR,174150801.49
SUSHI,172063022.52
ICX,169728829.84
OMG,169500199.07
ZRX,166200734.01
ABBC,165435667.54
ONT,164020361.4
ASTR,160224875.03
IOST,159696175.64
FLUX,158015137.43
AUDIO,154108697.84
RBN,152460702.65
T,152209161.14
AMP,148395404.31
WOO,146951267.62
BORA,145989891.92
ZEN,143970917.2
BONE,142101051.25
SC,138466052.74
STORJ,137570527.22
WAXP,137024209.97
SCRT,135412241.95
PEOPLE,135277429.95
BTRST,131376967.26
NFT,130391567.55
RNDR,130571552.53
SXP,127436410.4
VGX,123440741.51
EWT,123760997.33
CEL,123212295.91
DGB,122991863.18
DYDX,121846114.53
INJ,119295892.9
UMA,118461077.04
SLP,113268304.87
SKL,111832097.29
LSK,110047483.26
KNC,108248050.24
SSV,107201354.79
CVC,103336011.71
PUNDIX,101386291.45
XNO,100714076.72
PLA,100433064.05
