coin,mkt_cap
BTC,164316651814.37
ETH,78656648100.44
XRP,34140866995.4
BCH,30217561067.86
EOS,14658768268.23
LTC,9692237655.61
ADA,9075008460.42
XLM,7669224606.73
MIOTA,6404034845.59
TRX,5573995101.82
NEO,5431126098.63
DASH,3909158826.34
XMR,3768991277.89
XEM,3766714095.65
VEN,2653080442.43
ETC,2574016274.04
USDT,2190993167.74
QTUM,2030559024.95
OMG,1726729896.24
ICX,1653097109.86
BNB,1590036252.83
LSK,1401312175.95
BCN,1322137873.03
BTG,1321516331.82
NANO,1165716541.2
XVG,1127843303.05
ZEC,1124219711.99
ONT,1050878117.58
ZIL,1001565710.08
AE,997107555.04
STEEM,949528560.76
SC,912101160.45
WAN,884205914.67
BTS,864287177.79
ZRX,844071272.88
BTM,790635651.29
BCD,788770974.25
STRAT,782230570.39
PPT,729328868.13
WAVES,694605875.02
RHOC,676872415.81
MKR,659171473.9
BTCP,658675035.73
GNT,624339878.26
DCR,614567255.16
SNT,571701008.34
DOGE,568134279.57
HC,527455529.94
DGD,526045410.16
IOST,510150454.94
WTC,493945762.38
LRC,493899974.11
DGB,478685588.77
REP,471600158.69
XIN,465060162.53
AION,459119519.96
BAT,437427192.93
ELF,426271408.8
KMD,405174458.2
ARDR,400502655.17
MITH,398327418.89
WICC,372616217.85
ARK,364460404.58
NAS,364358489.51
KCS,334437156.92
GAS,329229798.23
PIVX,315423007.14
LOOM,312285152.56
ELA,311044652.4
KNC,308548497.09
SUB,303961570.4
MONA,291876225.88
RDD,290513273.41
CTXC,278889573.6
QASH,276749449.97
BNT,271267429.92
SYS,270373722.74
CNX,267980068.04
CENNZ,267507524.88
FUN,260958556.33
VGX,249443073.97
BTCD,248922266.86
STORM,246856538.31
GXC,245727367.4
DRGN,240271196.17
FSN,239222628.49
DCN,236379682.62
VERI,234428344.36
NXT,230173959.13
WAXP,229910240.57
SALT,225845925.64
CMT,213111474.88
XZC,212488232.31
FCT,205941791.16
GTO,203611852.49
POLY,203257487.29
ETN,202102153.45
BFT,201650843.44
ENG,199449598.09
SOC,198663797.55
POWR,197240298.37
MAN,188523030.28
LINK,188439643.38
NCASH,188046298.75
NEBL,182890462.46
ACT,180889559.8
R,180480565.09
SKY,180083120.6
REQ,178028623.37
MCO,174391533.77
DBC,171340014.79
GBYTE,171086867.97
MANA,167636483.96
MAID,165752638.59
ICN,157024121.82
KIN,156127413.3
PAYX,155808549.62
PAY,155495702.67
TNB,153917802.62
EMC,153843633.44
STORJ,153739477.22
CND,152811350.17
QSP,151912421.9
NULS,151506776.81
ZEN,150989744.58
PART,150093376.38
NXS,145717584.35
POA,145382830.54
CVC,144081368.71
ABT,140010807.18
BTO,139907122.88
HT,133519277.59
RLC,129965103.29
DENT,128645476.48
GNX,128382331.71
AGI,125836387.54
GNO,125725773.41
CPX,125347071.41
RUFF,123853955.02
IGNIS,123285369.81
SRN,122415447.23
XDN,120836563.58
MTL,120651449.77
POE,119553049.58
ANT,118887177.81
ENJ,117487592.39
AMB,115925340.82
HPB,114784979.76
SMT,112989453.89
SAN,112831548.27
DDD,112577106.89
BOS,112547505.52
VTC,111166135.64
BLZ,110125015.96
BTX,109513475.4
SMART,108894830.11
TPAY,108848576.18
DROP,107248156.99
GAME,107040502.56
DPY,106619331.46
LCC,105957180.32
GTC,104748714.92
RDN,103316774.58
THETA,103229634.4
PHX,101096314.72
BCO,101058644.77
TOMO,100446481.7
