coin,mkt_cap
BTC,359123541247.06
ETH,68452719868.01
XRP,28100510377.08
USDT,19683467750.66
LTC,5517178550.56
LINK,5336371894.38
BCH,5324074006.72
ADA,4942739300.77
DOT,4547051375.88
BNB,4265885902.99
XLM,3814433496.66
BSV,3319363315.52
USDC,3073447381.02
EOS,2811548431.18
XMR,2393871508.29
WBTC,2334556265.72
XEM,2240616067.91
TRX,2216094907.47
XTZ,1750066452.13
CRO,1406517049.51
LEO,1351265512.99
FIL,1309007243.45
NEO,1262221564.93
VET,1103505547.92
DAI,1079654388.75
ATOM,1077256275.97
AAVE,1051203168.98
DASH,1006927365.29
REV,952189782.0
MIOTA,940381559.06
UNI,904844016.49
WAVES,875146276.07
YFI,862657179.49
HT,801352965.32
ZEC,785451326.8
ETC,716700497.15
BUSD,703460965.5
THETA,700636678.24
COMP,595660520.23
CEL,562340874.84
SNX,559878338.63
MKR,529179481.05
OMG,515871739.36
ONT,446585211.68
KSM,443583677.38
UMA,439191521.38
DOGE,431691745.9
FTT,427191982.06
ALGO,390094502.77
ZIL,379382327.96
SUSHI,361004079.35
BAT,349484009.12
BTT,342713314.36
DCR,336029843.45
TUSD,322215668.49
RENBTC,320274381.76
OKB,305129560.15
REN,300182531.66
DGB,299846068.85
ZRX,298131700.13
AMPL,294729717.94
QTUM,258516394.33
ABBC,255174682.01
HUSD,253075770.77
PAX,245642366.67
ICX,238559588.23
HBAR,235371343.55
LRC,224924372.12
CELO,223223471.62
NEXO,221225044.73
HEDG,215750046.65
NEAR,203741451.33
KNC,196144242.43
LUNA,192334788.37
EGLD,188589014.96
REP,185858732.17
OCEAN,185437540.62
EWT,184869237.19
RSR,178806584.5
STX,168976433.23
LSK,169185736.05
BTG,163887605.08
SC,162589984.19
RUNE,156434356.67
NANO,144892486.82
QNT,145239592.61
NMR,138781532.61
ANT,136965638.61
BAND,137176102.66
SNT,129826888.7
MANA,133600622.44
ZEN,129020228.26
ZB,128456768.53
ENJ,125820454.17
XVG,114428736.1
NXM,113562347.08
OXT,111682756.14
RVN,111289562.72
MAID,109612424.85
CHSB,109599062.84
GNT,105361676.67
HOT,103268034.44
BCD,103049783.98
CVT,102160698.93
