coin,mkt_cap
BTC,41167090926.76
ETH,26776232589.1
XRP,9934661325.87
LTC,2153779043.32
ETC,1668376592.63
XEM,1433802053.17
DASH,1283557618.23
MIOTA,1062473078.9
XMR,629998886.14
STRAT,578879649.94
BTS,556410032.54
ZEC,468653574.53
NEO,404759359.36
BCN,402339915.66
GNT,389886181.24
STEEM,387756046.73
WAVES,362346601.49
SC,358829239.09
GNO,357088820.0
BCC,354962571.52
FUN,348266837.89
ICN,311207060.34
REP,288508825.3
LSK,280592250.67
DOGE,272983844.91
XLM,266626246.37
USDT,224437104.44
GBYTE,220303505.36
FCT,208728848.76
MAID,202651963.29
ARDR,194192146.45
GAME,193514662.04
VERI,176495970.97
KMD,162008351.77
DCR,156106650.85
DGD,153089981.08
DGB,151386961.35
SNT,146828927.22
NXT,140763475.09
PIVX,127342316.49
BAT,124108612.54
1ST,117342776.08
SNGLS,105564960.84
