coin,mkt_cap
BTC,166495319475.22
ETH,19777347724.09
XRP,12596463117.22
BCH,5296136970.28
USDT,4126314408.69
LTC,3728676101.93
BNB,3142781985.62
EOS,3083125736.82
BSV,2341224259.14
XLM,1385608525.89
TRX,1313635904.75
XMR,1097392280.75
ADA,1087128847.82
LEO,1004268683.34
HT,942696186.96
LINK,935129238.53
NEO,781207002.94
MIOTA,750369699.18
DASH,652416407.25
ATOM,647561219.0
XTZ,573784519.02
ETC,562605015.18
MKR,525539497.72
ONT,504520872.56
USDC,468534830.74
CRO,432140176.4
XEM,374963788.37
INO,351135629.49
PZM,322418185.56
DOGE,321384941.94
BAT,314035312.24
ZEC,289228932.1
INB,257879796.89
PAX,242767804.94
VET,236881016.14
DCR,234837339.02
HEDG,225695250.27
QTUM,205623932.09
MEXC,193922765.76
THX,180800908.66
TUSD,180503123.78
ZRX,177727216.57
THR,151668442.71
HOT,145830109.11
BTG,145045202.11
RVN,143455513.1
ZB,138067875.99
ABBC,137554621.68
BTM,136009954.89
KCS,135702728.11
OMG,135515696.29
LUNA,133941265.84
VSYS,125586063.25
CENNZ,122727177.84
ALGO,115286749.71
CNX,113656387.5
NANO,113098270.42
REP,112101365.87
EKT,107470982.52
SNX,103689830.58
SLV,103364345.98
