coin,mkt_cap
BTC,67592376373.2
ETH,13900679027.02
XRP,12949767220.58
EOS,3220736331.65
LTC,2937680217.52
BCH,2322338738.88
USDT,2043328704.97
XLM,1675990127.3
BNB,1628869046.88
TRX,1515198953.4
BSV,1154648587.69
ADA,1097017920.37
XMR,843385247.82
MIOTA,796100170.13
DASH,710428399.76
MKR,661231891.52
NEO,566062626.56
ETC,465693845.54
XEM,390123986.17
ZEC,307232239.74
ONT,286429088.46
WAVES,266850833.68
VET,246984628.73
XTZ,246226141.49
USDC,239435726.9
DOGE,236922047.24
BTG,214421599.86
BAT,211610009.21
TUSD,205452508.96
QTUM,184722343.43
OMG,174668252.65
DCR,156714589.35
LINK,148459048.61
HOT,146071346.18
REP,141623612.98
ZRX,141490160.47
ZIL,141150152.04
LSK,140586962.0
ICX,133851115.42
THETA,130958792.33
DGB,129240926.75
ABBC,127856750.0
BCN,126063199.32
BTS,123575230.65
STEEM,120523810.92
NANO,118043777.79
NPXS,114681090.05
BCD,113954087.49
PAX,113064532.7
XVG,106211930.81
AE,103555631.45
KMD,102566027.75
