coin,mkt_cap
BTC,110689204562.51
ETH,21371396109.51
XRP,18602749467.8
BCH,9769868992.53
EOS,4938414323.51
XLM,4570228155.35
LTC,3164414394.8
ADA,1976402599.95
XMR,1849576023.16
USDT,1756362524.84
TRX,1530152842.01
MIOTA,1380736899.12
DASH,1373102041.48
BNB,1259276036.54
NEO,1080973539.63
ETC,990863293.53
XEM,853795891.42
XTZ,805979158.37
ZEC,622103808.53
VET,590931212.36
BTG,509076362.29
MKR,469805208.75
OMG,459488750.71
DOGE,429510953.0
ZRX,429247698.14
DCR,353048411.81
ONT,349951261.38
QTUM,347898146.8
LSK,315678449.84
BAT,289805861.3
ZIL,285487189.0
BCD,278650955.38
AE,273022001.73
BTS,260028605.03
NANO,258059195.98
ICX,248671239.11
BCN,243729138.76
SC,240636589.35
DGB,239944695.64
STEEM,224816044.28
NPXS,212866684.26
XVG,212300506.62
BTM,190579762.8
WAVES,182138131.77
LINK,176398479.18
TUSD,172923375.05
AOA,172317920.52
REP,163131608.06
ETP,162717207.47
GNT,161106078.13
STRAT,155619703.51
ETN,151719893.07
KMD,142032965.7
HOT,137341562.93
WTC,134576700.1
SNT,134164735.33
USDC,131925634.95
PAX,130600281.66
PPT,128898220.6
CNX,110843438.76
WAN,110287265.96
ARDR,109746637.77
KCS,102252394.36
MITH,102230573.87
IOST,101167847.01
RVN,100390204.99
