coin,mkt_cap
BTC,1261062489752.16
ETH,376776520689.19
USDT,110929211858.87
BNB,87392453342.3
SOL,65197854835.51
USDC,33615789258.56
XRP,29263096173.49
DOGE,23221279908.16
TON,20721801677.06
ADA,16340709993.25
SHIB,14569708122.02
AVAX,14225356714.57
TRX,10599594833.56
DOT,10506814777.77
BCH,9245273315.25
LINK,8439845145.19
NEAR,8013618177.7
MATIC,7267644357.07
LTC,6062333880.61
ICP,6024434245.12
LEO,5403595939.14
DAI,5348584211.0
UNI,4548346735.83
ETC,4066506358.84
HBAR,3942769866.42
APT,3958388962.28
RNDR,3820615188.24
FDUSD,3856875154.9
ATOM,3649813319.01
PEPE,3587278665.16
CRO,3519917928.69
MNT,3477617564.12
FIL,3371717713.27
STX,3358580794.45
IMX,3268012401.15
WIF,3213608483.61
XLM,3210014206.32
OKB,3082605552.77
TAO,3054660738.31
OP,3033852319.74
ARB,2843719199.55
GRT,2786845549.24
VET,2715692728.21
MKR,2696329111.84
AR,2657381163.22
SUI,2561834497.29
KAS,2542611205.24
XMR,2477698970.26
INJ,2262412409.09
THETA,2243965208.29
FET,1999367347.77
FTM,1997820149.52
TIA,1863483725.17
FLOKI,1798278782.84
LDO,1807089995.66
RUNE,1752542776.05
CORE,1735266633.17
BONK,1683519854.36
BGB,1624660055.45
ALGO,1601188981.45
SEI,1568923050.55
JUP,1440772436.18
GALA,1406651655.52
FLOW,1375222222.55
AAVE,1334258771.12
BSV,1276045124.22
BEAM,1256066345.62
AGIX,1247042976.01
AKT,1192630093.55
W,1216407569.72
QNT,1220137551.49
BTT,1217508272.67
PENDLE,1209416941.26
FLR,1194306049.81
ONDO,1185201594.89
NEO,1179172568.32
WLD,1167574877.04
ENA,1158623057.12
EGLD,1120075838.33
AXS,1079651255.35
CHZ,1080409802.38
DYDX,1061113265.36
SAND,1020247401.38
STRK,994129668.11
KCS,990318516.25
XEC,989349433.24
JASMY,984140395.32
XTZ,946265891.29
MINA,936084275.19
SNX,931174176.44
EOS,925754010.66
CFX,915830316.01
RON,904535870.29
HNT,888928637.82
MANA,854460743.88
ORDI,843143076.97
CKB,832163647.94
PYTH,837569385.04
AIOZ,826973867.2
AXL,824455002.01
GNO,820180844.88
APE,764525216.99
GT,760352226.75
KAVA,751934718.99
IOTA,740922327.7
USDD,732204867.78
NEXO,727695877.12
TFUEL,715865585.11
CAKE,711800870.15
BTG,670318809.46
PRIME,667456134.52
KLAY,666317148.32
RBN,663448446.16
ROSE,659786523.43
LUNC,656242770.8
BLUR,645614947.43
ETHDYDX,632086765.52
GLM,620929940.97
OM,613861152.46
OSMO,603042158.08
BOME,598229451.18
WEMIX,589759822.92
1000SATS,577706661.04
WOO,578397011.43
XAUt,566512423.29
OCEAN,560147260.22
ASTR,555589185.53
ARKM,538813295.81
IOTX,536687009.36
CRV,538144685.95
TUSD,509600483.21
XDC,499381576.08
FTT,491747869.16
ANKR,494325265.01
ENS,491768548.37
DYM,491094434.48
DEXE,486079130.35
LPT,484141529.35
MX,482740615.13
SUPER,479136696.03
TWT,475706878.21
ETHFI,473643844.86
XRD,475044922.43
COMP,470489386.25
NFT,469486204.4
LUNA,465089928.13
ZETA,458331782.82
MANTA,456944728.47
1INCH,453232601.24
SSV,446375059.19
RAY,442095770.77
GMT,440421941.79
CELO,438968328.74
JTO,434865166.84
ZIL,431226989.39
HOT,428926934.77
GAL,430168191.34
SKL,427749586.37
RVN,427881237.36
ZRX,426904385.44
ENJ,425368730.6
RPL,424207255.78
PAXG,422288478.35
ETHW,418873789.79
SC,417141490.64
ID,414804418.77
ALT,411882456.48
ELF,407965840.64
MEW,395461445.36
QTUM,394441114.19
ZEC,377079556.74
TRAC,375529620.82
ILV,372473290.78
BAT,371484325.21
SFP,369214497.2
T,365359545.65
RSR,359154527.04
LRC,356724509.1
CSPR,355485940.37
XEM,353894411.61
METIS,351868922.41
FXS,351677986.49
BNX,350938703.09
DCR,345823145.41
DASH,344006631.66
ANT,344076110.91
BICO,342845258.52
CFG,342708278.98
PIXEL,336868940.86
XCH,336848535.52
GAS,336891849.43
POLYX,338729037.34
MEME,331923736.25
AMP,330784865.42
PYUSD,327090536.13
MASK,323656615.57
JST,323281638.92
FLUX,321067580.68
ONT,323734803.16
ABT,314571877.23
