coin,mkt_cap
BTC,139433744615.04
ETH,81310528443.95
XRP,31819952004.57
BCH,19752882682.03
ADA,9834219715.37
LTC,8151907849.49
NEO,6984561729.43
XLM,6954711728.45
EOS,5572991596.94
XEM,4957834302.83
MIOTA,4847801227.59
DASH,4325431341.93
XMR,3466922918.26
TRX,2494029331.94
LSK,2355455676.7
USDT,2239605049.1
VEN,2122545163.63
ETC,2095808466.6
QTUM,1934561064.15
PPT,1735522654.85
NANO,1714743445.78
BTG,1689849695.89
ICX,1661698758.36
OMG,1230882733.67
ZEC,1113039707.97
STEEM,964678755.57
BNB,837524168.43
BCN,801089064.76
STRAT,788670098.87
XVG,787248612.46
SC,762953906.32
SNT,717176056.8
BTS,700145578.13
DGD,667098571.78
MKR,656500838.61
VERI,634174147.65
AE,591633764.4
WTC,585760638.6
ZRX,583780794.98
WAVES,574141073.23
REP,561916736.6
KCS,550509256.05
RHOC,516222560.13
DOGE,497365242.96
DCR,494587575.83
KNC,449534833.28
HC,447101609.75
KMD,440258553.71
ARDR,439997728.97
ARK,413162500.07
GAS,407840712.32
ZIL,401749681.3
BAT,385504275.56
DRGN,384377405.03
DCN,383182603.74
LRC,381681659.13
ETN,372240877.27
DGB,358833248.01
ELF,346409678.46
GBYTE,331225591.51
PIVX,314994166.04
ZCL,309061277.69
BTM,302472395.18
QASH,299765205.38
R,299476891.04
NAS,287359813.69
GNT,287232852.75
PLR,281532451.4
VGX,276698952.4
IOST,272213542.62
GXC,272056989.67
BTX,271139251.28
DENT,269565100.89
CND,265704581.48
CNX,262054685.35
SMART,246409025.4
AION,244338251.61
SYS,243407011.67
SALT,240239722.36
FCT,237153312.53
POWR,228284955.84
FUN,224663799.45
MONA,220667421.39
KIN,218807476.17
AGI,205532237.86
NXT,200551658.05
XZC,198362260.18
RDD,190498233.6
ENG,187779195.33
REQ,181251425.09
MAID,179274386.38
PAY,179259465.29
PART,178829525.07
IGNIS,178111323.06
BNT,173758295.18
NXS,171335778.98
WAXP,170102737.26
ICN,167970532.82
GNO,159844956.64
QSP,156506003.3
GAME,155976384.92
HPB,155103734.27
NEBL,153262246.26
LINK,152029754.22
SUB,143789008.55
RDN,143742008.18
EMC,143047433.69
VIBE,140861866.99
BLOCK,138636234.67
ANT,135833121.37
MED,134747726.02
POE,133123664.49
SKY,131134411.95
CVC,128626896.13
PPP,127734948.99
STORJ,126775672.97
VTC,125133940.77
XDN,124255097.75
XP,123495440.87
HTML,123135904.07
DEW,122201626.07
BTCD,121933794.58
SRN,119623844.01
ITC,119149667.44
SPHTX,116861933.02
RLC,116670170.39
TNB,115822553.43
NULS,114178829.19
ZEN,112949470.63
ENJ,112517911.43
MCO,112195557.76
UBQ,111158632.63
INK,108191821.8
VEE,107497868.12
ACT,105930072.07
AST,105892941.36
STORM,103440870.2
BIX,103431434.15
AGRS,101646381.86
DTR,101402274.77
BCO,101033977.03
MANA,100803569.83
SAN,100628145.29
NAV,100139926.04
